ID,Human,Gorilla,Chimpanzee,Cattle,Banteng,Goat,Sheep,EuropeanHare,Rabbit,HouseMouse,WesternWildMouse,SpinyMouse,NorwayRat,Opossum,Gallus,MuscovyDuck
Human,1.0,0.99503,1.0,0.85479,0.84613,0.79548,0.78939,0.91964,0.93142,0.846,0.83791,0.85631,0.85111,0.79605,0.73578,0.73178
Gorilla,0.99503,1.0,0.99503,0.85652,0.85011,0.80288,0.79062,0.91827,0.92917,0.84042,0.83308,0.85128,0.8498,0.80257,0.74054,0.73667
Chimpanzee,1.0,0.99503,1.0,0.85479,0.84613,0.79548,0.78939,0.91964,0.93142,0.846,0.83791,0.85631,0.85111,0.79605,0.73578,0.73178
Cattle,0.85479,0.85652,0.85479,1.0,0.96422,0.91702,0.89994,0.84849,0.8576,0.77734,0.77341,0.7681,0.77812,0.74295,0.68658,0.67947
Banteng,0.84613,0.85011,0.84613,0.96422,1.0,0.90159,0.89922,0.84067,0.84863,0.75926,0.76063,0.7565,0.76208,0.75377,0.68473,0.67651
Goat,0.79548,0.80288,0.79548,0.91702,0.90159,1.0,0.95787,0.78959,0.79893,0.71857,0.74484,0.74457,0.77858,0.7066,0.67898,0.67035
Sheep,0.78939,0.79062,0.78939,0.89994,0.89922,0.95787,1.0,0.77812,0.79032,0.7023,0.73071,0.73085,0.76768,0.69261,0.68892,0.68363
EuropeanHare,0.91964,0.91827,0.91964,0.84849,0.84067,0.78959,0.77812,1.0,0.97428,0.87468,0.86735,0.87197,0.86131,0.81948,0.75384,0.74531
Rabbit,0.93142,0.92917,0.93142,0.8576,0.84863,0.79893,0.79032,0.97428,1.0,0.88034,0.87508,0.87556,0.85835,0.83321,0.75053,0.74348
HouseMouse,0.846,0.84042,0.846,0.77734,0.75926,0.71857,0.7023,0.87468,0.88034,1.0,0.94409,0.92325,0.87912,0.76986,0.69909,0.69259
WesternWildMouse,0.83791,0.83308,0.83791,0.77341,0.76063,0.74484,0.73071,0.86735,0.87508,0.94409,1.0,0.96506,0.9019,0.76778,0.73035,0.72265
SpinyMouse,0.85631,0.85128,0.85631,0.7681,0.7565,0.74457,0.73085,0.87197,0.87556,0.92325,0.96506,1.0,0.89656,0.77494,0.73523,0.72698
NorwayRat,0.85111,0.8498,0.85111,0.77812,0.76208,0.77858,0.76768,0.86131,0.85835,0.87912,0.9019,0.89656,1.0,0.73537,0.74576,0.74282
Opossum,0.79605,0.80257,0.79605,0.74295,0.75377,0.7066,0.69261,0.81948,0.83321,0.76986,0.76778,0.77494,0.73537,1.0,0.74196,0.73627
Gallus,0.73578,0.74054,0.73578,0.68658,0.68473,0.67898,0.68892,0.75384,0.75053,0.69909,0.73035,0.73523,0.74576,0.74196,1.0,0.98657
MuscovyDuck,0.73178,0.73667,0.73178,0.67947,0.67651,0.67035,0.68363,0.74531,0.74348,0.69259,0.72265,0.72698,0.74282,0.73627,0.98657,1.0
