Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P66059|RL11_STRP8 Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=rplK PE=3 SV=1	1.0	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A3CPA6|RL11_STRSV Large ribosomal subunit protein uL11 OS=Streptococcus sanguinis (strain SK36) OX=388919 GN=rplK PE=3 SV=1	0.9971379041671753	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C1CQB5|RL11_STRZT Large ribosomal subunit protein uL11 OS=Streptococcus pneumoniae (strain Taiwan19F-14) OX=487213 GN=rplK PE=3 SV=1	0.9958654642105103	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q31U14|RL11_SHIBS Large ribosomal subunit protein uL11 OS=Shigella boydii serotype 4 (strain Sb227) OX=300268 GN=rplK PE=3 SV=3	0.9820187091827393	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q5E232|RL11_ALIF1 Large ribosomal subunit protein uL11 OS=Aliivibrio fischeri (strain ATCC 700601 / ES114) OX=312309 GN=rplK PE=3 SV=1	0.9818753600120544	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q66FQ6|RL11_YERPS Large ribosomal subunit protein uL11 OS=Yersinia pseudotuberculosis serotype I (strain IP32953) OX=273123 GN=rplK PE=3 SV=1	0.981552004814148	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q39Y17|RL11_GEOMG Large ribosomal subunit protein uL11 OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=rplK PE=3 SV=1	0.9784857034683228	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C6DHR1|RL11_PECCP Large ribosomal subunit protein uL11 OS=Pectobacterium carotovorum subsp. carotovorum (strain PC1) OX=561230 GN=rplK PE=3 SV=1	0.978387713432312	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q31CX7|RL11_PROM9 Large ribosomal subunit protein uL11 OS=Prochlorococcus marinus (strain MIT 9312) OX=74546 GN=rplK PE=3 SV=1	0.972536027431488	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B0TM23|RL11_SHEHH Large ribosomal subunit protein uL11 OS=Shewanella halifaxensis (strain HAW-EB4) OX=458817 GN=rplK PE=3 SV=1	0.9713698625564575	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|C5JCV0|CHO2_BLAGS Phosphatidylethanolamine N-methyltransferase OS=Blastomyces gilchristii (strain SLH14081) OX=559298 GN=CHO2 PE=3 SV=1	0.9864342212677002	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|B2B585|PFF1_PODAN Vacuolar membrane protease OS=Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) OX=515849 GN=Pa_2_3840 PE=3 SV=1	0.6885387897491455	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|F9X2Z5|CHS5_ZYMTI Chitin synthase 5 OS=Zymoseptoria tritici (strain CBS 115943 / IPO323) OX=336722 GN=CHS5 PE=3 SV=1	0.6876442432403564	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q2UBI2|YME2_ASPOR Mitochondrial escape protein 2 OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=yme2 PE=3 SV=1	0.684274435043335	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q0CY06|NAGS_ASPTN Amino-acid acetyltransferase, mitochondrial OS=Aspergillus terreus (strain NIH 2624 / FGSC A1156) OX=341663 GN=arg2 PE=3 SV=1	0.6697402000427246	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q5B0R3|NAGS_EMENI Amino-acid acetyltransferase, mitochondrial OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=arg2 PE=3 SV=2	0.6668514609336853	success
