Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P66058|RL11_STRP1 Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M1 OX=301447 GN=rplK PE=3 SV=1	1.0	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A4VW09|RL11_STRSY Large ribosomal subunit protein uL11 OS=Streptococcus suis (strain 05ZYH33) OX=391295 GN=rplK PE=3 SV=1	0.9969223737716675	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C1KYI0|RL11_LISMC Large ribosomal subunit protein uL11 OS=Listeria monocytogenes serotype 4b (strain CLIP80459) OX=568819 GN=rplK PE=3 SV=1	0.9952284097671509	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q6GBV0|RL11_STAAS Large ribosomal subunit protein uL11 OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=rplK PE=3 SV=1	0.9891026020050049	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B8CNC1|RL11_SHEPW Large ribosomal subunit protein uL11 OS=Shewanella piezotolerans (strain WP3 / JCM 13877) OX=225849 GN=rplK PE=3 SV=1	0.9851844310760498	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A8G1F9|RL11_SHESH Large ribosomal subunit protein uL11 OS=Shewanella sediminis (strain HAW-EB3) OX=425104 GN=rplK PE=3 SV=1	0.9830983877182007	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q2S901|RL11_HAHCH Large ribosomal subunit protein uL11 OS=Hahella chejuensis (strain KCTC 2396) OX=349521 GN=rplK PE=3 SV=1	0.9809232950210571	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q5FM23|RL11_LACAC Large ribosomal subunit protein uL11 OS=Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM) OX=272621 GN=rplK PE=3 SV=1	0.9802136421203613	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A6W5S6|RL11_KINRD Large ribosomal subunit protein uL11 OS=Kineococcus radiotolerans (strain ATCC BAA-149 / DSM 14245 / SRS30216) OX=266940 GN=rplK PE=3 SV=1	0.9791536927223206	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B1W447|RL11_STRGG Large ribosomal subunit protein uL11 OS=Streptomyces griseus subsp. griseus (strain JCM 4626 / CBS 651.72 / NBRC 13350 / KCC S-0626 / ISP 5235) OX=455632 GN=rplK PE=3 SV=1	0.9782629013061523	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|A4RHN5|CHO2_PYRO7 Phosphatidylethanolamine N-methyltransferase OS=Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) OX=242507 GN=CHO2 PE=3 SV=1	0.9996956586837769	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|B2B2N5|CHO2_PODAN Phosphatidylethanolamine N-methyltransferase OS=Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) OX=515849 GN=CHO2 PE=3 SV=1	0.9993365406990051	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|C0NLX2|CHO2_AJECG Phosphatidylethanolamine N-methyltransferase OS=Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) OX=447093 GN=CHO2 PE=3 SV=1	0.997351884841919	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q6TGJ4|ATG9_CRYGA Autophagy-related protein 9 OS=Cryptococcus gattii OX=552467 GN=ATG9 PE=3 SV=1	0.9878489971160889	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|G5EB19|PPOA_EMENI Psi-producing oxygenase A OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=ppoA PE=3 SV=1	0.9866304993629456	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q05531|NIA_MYCMD Nitrate reductase [NADPH] OS=Mycosarcoma maydis OX=5270 GN=NAR1 PE=2 SV=2	0.9860753417015076	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q00940|PEX10_PICAN Peroxisome biogenesis factor 10 OS=Pichia angusta OX=870730 GN=PEX10 PE=3 SV=1	0.9852867126464844	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q4WDM5|GPI7_ASPFU GPI ethanolamine phosphate transferase 2 OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=las21 PE=2 SV=1	0.9852707982063293	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|P25619|HSP30_YEAST 30 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP30 PE=1 SV=1	0.9852492809295654	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|B8N9M5|RTC5_ASPFN Restriction of telomere capping protein 5 OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=rtc5 PE=3 SV=1	0.9850810170173645	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|A7SIM4|HAP2_NEMVE Hapless 2 OS=Nematostella vectensis OX=45351 GN=HAP2 PE=1 SV=1	0.9924576282501221	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q6DLD9|GD_EHV1B Envelope glycoprotein D OS=Equine herpesvirus 1 (strain Ab4p) OX=31520 GN=gD PE=3 SV=1	0.9924402832984924	success
