"","Human","Gorilla","Chimpanzee","Cattle","Banteng","Goat","Sheep","EuropeanHare","Rabbit","HouseMouse","WesternWildMouse","SpinyMouse","NorwayRat","Opossum","Gallus","MuscovyDuck"
"Human",0,0.00497000000000003,0,0.14521,0.15387,0.20452,0.21061,0.08036,0.06858,0.154,0.16209,0.14369,0.14889,0.20395,0.26422,0.26822
"Gorilla",0.00497000000000003,0,0.00497000000000003,0.14348,0.14989,0.19712,0.20938,0.08173,0.0708299999999999,0.15958,0.16692,0.14872,0.1502,0.19743,0.25946,0.26333
"Chimpanzee",0,0.00497000000000003,0,0.14521,0.15387,0.20452,0.21061,0.08036,0.06858,0.154,0.16209,0.14369,0.14889,0.20395,0.26422,0.26822
"Cattle",0.14521,0.14348,0.14521,0,0.03578,0.0829800000000001,0.10006,0.15151,0.1424,0.22266,0.22659,0.2319,0.22188,0.25705,0.31342,0.32053
"Banteng",0.15387,0.14989,0.15387,0.03578,0,0.09841,0.10078,0.15933,0.15137,0.24074,0.23937,0.2435,0.23792,0.24623,0.31527,0.32349
"Goat",0.20452,0.19712,0.20452,0.0829800000000001,0.09841,0,0.04213,0.21041,0.20107,0.28143,0.25516,0.25543,0.22142,0.2934,0.32102,0.32965
"Sheep",0.21061,0.20938,0.21061,0.10006,0.10078,0.04213,0,0.22188,0.20968,0.2977,0.26929,0.26915,0.23232,0.30739,0.31108,0.31637
"EuropeanHare",0.08036,0.08173,0.08036,0.15151,0.15933,0.21041,0.22188,0,0.02572,0.12532,0.13265,0.12803,0.13869,0.18052,0.24616,0.25469
"Rabbit",0.06858,0.0708299999999999,0.06858,0.1424,0.15137,0.20107,0.20968,0.02572,0,0.11966,0.12492,0.12444,0.14165,0.16679,0.24947,0.25652
"HouseMouse",0.154,0.15958,0.154,0.22266,0.24074,0.28143,0.2977,0.12532,0.11966,0,0.05591,0.07675,0.12088,0.23014,0.30091,0.30741
"WesternWildMouse",0.16209,0.16692,0.16209,0.22659,0.23937,0.25516,0.26929,0.13265,0.12492,0.05591,0,0.03494,0.0981,0.23222,0.26965,0.27735
"SpinyMouse",0.14369,0.14872,0.14369,0.2319,0.2435,0.25543,0.26915,0.12803,0.12444,0.07675,0.03494,0,0.10344,0.22506,0.26477,0.27302
"NorwayRat",0.14889,0.1502,0.14889,0.22188,0.23792,0.22142,0.23232,0.13869,0.14165,0.12088,0.0981,0.10344,0,0.26463,0.25424,0.25718
"Opossum",0.20395,0.19743,0.20395,0.25705,0.24623,0.2934,0.30739,0.18052,0.16679,0.23014,0.23222,0.22506,0.26463,0,0.25804,0.26373
"Gallus",0.26422,0.25946,0.26422,0.31342,0.31527,0.32102,0.31108,0.24616,0.24947,0.30091,0.26965,0.26477,0.25424,0.25804,0,0.0134300000000001
"MuscovyDuck",0.26822,0.26333,0.26822,0.32053,0.32349,0.32965,0.31637,0.25469,0.25652,0.30741,0.27735,0.27302,0.25718,0.26373,0.0134300000000001,0
