ID,P09923,P05186,P05187,P10696,A0A2R8YDJ8|1,A0A2R8YDJ8|2,O60729|1,O60729|2,Q16667,P28562,Q05923,Q13115,Q16690,Q9Y6W6,O75319,Q9UNI6,Q6FI36,Q8NEJ0,Q9H596,Q4G0W2,Q9H1R2,Q9NRW4,Q8WTR2,Q9BVJ7,Q68J44,Q9UII6,Q9BV47,Q5VZP5,P51452,Q16828,Q16829,Q99956,Q9BY84,Q13202,O95278,Q93096,Q12974,O75365,A2A3K4,Q8WUK0,O60942,Q8WYL5,Q76I76,Q8TE77,Q8WUJ0,Q9Y6J8,Q13496,Q13613,Q13614,Q9NXD2,A4FU01,Q9C0I1,Q8NCE2,Q13615,Q9NYA4,O95248,Q86WG5,Q9Y217,Q9Y216,Q96EF0,Q96QG7,Q9ULE6|1,Q9ULE6|2,O75061,O14976,P60484,Q9HBL0,Q63HR2,Q68CZ2,P56180,Q6XPS3,P18031,P17706,Q05209,Q99952,Q9Y2R2,Q12923,Q4JDL3,Q15678,Q16825,Q9H3S7,P26045,P29074,P54829,P35236,Q15256,Q06124,Q53XS4,Q6IQ43,P18433|1,P18433|2,P23469|1,P23469|2,P23467,Q9HD43,Q12913,Q16827,A0A087WZU1,P08575|1,P08575|2,Q2HXI4|1,Q2HXI4|2,P10586|1,P10586|2,Q13332|1,Q13332|2,P23470|1,P23470|2,P23471|1,P23471|2,Q5TG12|1,Q5TG12|2,P28827|1,P28827|2,O14522|1,O14522|2,Q92729|1,Q92729|2,Q16849,Q92932,Q92562,Q9Y2H2,Q9NTJ5,O43426,O15056,P24666,Q9NP77,P30304,P30305,P30307,Q99502,O00167,Q99504,A0A0S2Z3Q2,Q05D32,O95476,Q9Y5B0,Q9GZU7,O14595,O15194,Q3ZCQ8,Q8WVY7,Q9BXW7,Q9H0R4,Q9H008,Q96GD0,A6NDG6,P16118,O60825,Q16875,Q16877,P07738,Q6FHU2,P15259,Q8N0Y7,Q96HS1,P57075,Q8TF42,Q9NQ88,P11117,P15309,Q9BZG2,Q9NPH0,Q9UNW1,B7WPL9,A0A087WZV0,Q8TE99,Q9NRX4,Q9H0C8,Q9P0J1,Q9P2J9,O60346,Q6ZVD8,A8MPX8,P35813,O75688,Q8N819,O15297,Q8WY54,P49593,O15355,Q9ULR3,Q5JR12,Q96MI6,Q8N3J5,Q5SGD2,Q8NI37,Q15750,P13686,Q6ZNF0,P62136,P62140,P36873,P67775,P62714,Q08209,P16298,P48454,P60510,P53041,O00743,O14829,O14830,Q8IXW5
P09923,0.0,0.76711,0.14395,0.1504,0.8892,0.891,0.89433,0.88543,0.89951,0.90189,0.88358,0.89365,0.88916,0.89403,0.89473,0.87899,0.88069,0.88575,0.88799,0.90625,0.89126,0.88043,0.83451,0.8902,0.87898,0.87405,0.88123,0.88007,0.88655,0.89829,0.89956,0.89388,0.87983,0.89899,0.88106,0.90148,0.89694,0.89678,0.90132,0.89241,0.87656,0.89154,0.89396,0.88494,0.89184,0.89942,0.8982,0.89998,0.90327,0.90059,0.91721,0.88009,0.88439,0.89322,0.90879,0.89548,0.89153,0.90365,0.90338,0.89967,0.89205,0.90323,0.89923,0.89584,0.90117,0.90415,0.8936,0.89524,0.88191,0.88996,0.9108,0.8829,0.88214,0.88714,0.89063,0.91592,0.8809,0.89575,0.88951,0.89148,0.8903,0.89023,0.89644,0.89397,0.89443,0.90157,0.90006,0.86098,0.89946,0.90745,0.86078,0.88757,0.9059,0.89938,0.87288,0.88146,0.89607,0.90128,0.90582,0.91225,0.90285,0.89826,0.9,0.89413,0.91198,0.89755,0.89324,0.89365,0.89833,0.86734,0.89323,0.86658,0.87977,0.89636,0.89496,0.87038,0.89373,0.89435,0.90152,0.90334,0.88664,0.88789,0.89768,0.88886,0.88259,0.89165,0.9005,0.88999,0.88986,0.8829,0.9013,0.89126,0.8933,0.88908,0.88808,0.8885,0.89362,0.90356,0.91194,0.90243,0.88506,0.88697,0.9019,0.90393,0.87417,0.8955,0.90769,0.90021,0.89401,0.90114,0.87528,0.8888,0.87022,0.87832,0.85897,0.88517,0.88768,0.89443,0.90801,0.90326,0.8971,0.903,0.88213,0.89817,0.91675,0.90829,0.91041,0.89802,0.90317,0.8916,0.88496,0.89662,0.88687,0.89063,0.91035,0.89736,0.87616,0.88926,0.90153,0.87043,0.90115,0.90944,0.90619,0.88043,0.89685,0.90622,0.89134,0.90084,0.88925,0.88999,0.89424,0.89921,0.9101,0.87899,0.87907,0.89499,0.88912,0.88556,0.89845,0.88912,0.88044,0.90617,0.90873,0.88928
P05186,0.76711,0.0,0.77814,0.77301,0.88577,0.87716,0.9005,0.90129,0.90189,0.88492,0.88241,0.88274,0.88281,0.88761,0.90977,0.90002,0.89378,0.88452,0.89197,0.8923,0.89587,0.89331,0.89666,0.89957,0.88455,0.89548,0.90723,0.87825,0.90172,0.91029,0.90011,0.88982,0.88837,0.91007,0.89521,0.90289,0.89288,0.89489,0.88715,0.87826,0.90126,0.90515,0.90381,0.9038,0.88462,0.89055,0.91136,0.90809,0.90439,0.88335,0.86888,0.912,0.8862,0.91182,0.89189,0.91371,0.89266,0.90451,0.89739,0.90248,0.89536,0.90803,0.89149,0.9055,0.90408,0.89928,0.89426,0.88144,0.88612,0.90073,0.90525,0.90028,0.88549,0.89637,0.89738,0.91054,0.89799,0.88665,0.9071,0.89952,0.90647,0.89538,0.89358,0.90929,0.90696,0.89801,0.88615,0.90865,0.89906,0.89706,0.88697,0.88366,0.90085,0.90586,0.89112,0.90557,0.90841,0.89657,0.897,0.89484,0.87913,0.8905,0.8782,0.88811,0.89434,0.89776,0.90068,0.89638,0.88917,0.89558,0.88489,0.9087,0.89885,0.8855,0.89186,0.91134,0.90697,0.89046,0.8815,0.89995,0.86849,0.9023,0.89751,0.88378,0.87384,0.8898,0.88548,0.89657,0.88947,0.88388,0.88105,0.8986,0.89536,0.88793,0.87848,0.89003,0.89666,0.8953,0.89874,0.8959,0.90318,0.8965,0.89653,0.91637,0.8946,0.89406,0.89878,0.87281,0.90482,0.90478,0.87443,0.90406,0.89898,0.89462,0.89348,0.88988,0.89886,0.90979,0.8873,0.89241,0.90339,0.87,0.90263,0.90102,0.89386,0.9073,0.90141,0.90619,0.89952,0.89784,0.90716,0.90387,0.89733,0.90579,0.89231,0.88453,0.87893,0.87772,0.90102,0.89971,0.9045,0.90065,0.88942,0.91098,0.90483,0.90174,0.88346,0.90408,0.86606,0.87235,0.90067,0.90221,0.90326,0.89319,0.88455,0.90165,0.89277,0.89336,0.89145,0.9054,0.894,0.90024,0.90567,0.89578
P05187,0.14395,0.77814,0.0,0.05049,0.88663,0.88544,0.88076,0.87385,0.89776,0.89787,0.89696,0.89862,0.89748,0.89846,0.89962,0.88398,0.89533,0.8904,0.89846,0.90234,0.89307,0.8902,0.86001,0.89731,0.87361,0.87124,0.89802,0.89997,0.89406,0.89455,0.90029,0.89938,0.89284,0.88387,0.89,0.89207,0.89489,0.89441,0.89314,0.88378,0.8759,0.87642,0.87905,0.88893,0.89616,0.89075,0.89643,0.91159,0.89931,0.90837,0.9002,0.88808,0.86562,0.90471,0.90161,0.89136,0.9,0.89901,0.89616,0.89711,0.87726,0.90648,0.89221,0.89504,0.90109,0.89991,0.90417,0.89767,0.897,0.89413,0.91157,0.89695,0.88228,0.90423,0.89876,0.90213,0.88951,0.89157,0.8935,0.89803,0.87982,0.89277,0.89373,0.89963,0.89652,0.88406,0.8995,0.85786,0.90396,0.9065,0.86915,0.88536,0.90313,0.88637,0.90068,0.90396,0.91394,0.9013,0.90973,0.90449,0.90022,0.90059,0.89803,0.90332,0.89684,0.90406,0.88342,0.90055,0.90381,0.87307,0.88485,0.88394,0.8868,0.90504,0.90339,0.89019,0.88635,0.88473,0.89421,0.88806,0.89219,0.89101,0.89225,0.90187,0.90407,0.88639,0.88507,0.8877,0.88257,0.8791,0.89795,0.88585,0.90437,0.89772,0.89318,0.8867,0.89005,0.90159,0.90208,0.90101,0.89827,0.88571,0.89071,0.90012,0.85038,0.89193,0.91038,0.90412,0.90446,0.89319,0.88593,0.88673,0.88517,0.88882,0.87848,0.89585,0.89082,0.89107,0.90668,0.89501,0.89931,0.91032,0.89751,0.88961,0.91408,0.90819,0.90639,0.89023,0.90046,0.89602,0.89047,0.89776,0.89557,0.9009,0.90362,0.89491,0.89088,0.86813,0.89304,0.89126,0.90971,0.90923,0.90532,0.8949,0.89148,0.90247,0.90348,0.88295,0.89479,0.88641,0.89222,0.88876,0.89325,0.8975,0.89512,0.89887,0.89471,0.90185,0.88773,0.90257,0.87903,0.90669,0.91829,0.89229
P10696,0.1504,0.77301,0.05049,0.0,0.88538,0.88038,0.87551,0.8725,0.87365,0.90334,0.89855,0.89723,0.89712,0.89377,0.88657,0.89415,0.88816,0.89272,0.90209,0.89931,0.90017,0.89344,0.86566,0.88791,0.87384,0.87078,0.89203,0.88998,0.88558,0.88478,0.89096,0.89629,0.90185,0.88749,0.88864,0.88744,0.89426,0.89914,0.90394,0.88505,0.87286,0.87217,0.87579,0.87816,0.88979,0.89307,0.90475,0.91082,0.90153,0.89671,0.90637,0.88782,0.87031,0.9073,0.90622,0.89508,0.88786,0.90906,0.90136,0.90217,0.87661,0.89481,0.89284,0.89556,0.8982,0.89641,0.88297,0.89545,0.88891,0.9031,0.90119,0.90503,0.87882,0.89808,0.89809,0.90436,0.88563,0.88374,0.88703,0.89395,0.88994,0.89427,0.8939,0.89886,0.88073,0.88794,0.89339,0.85944,0.90418,0.9056,0.88968,0.88689,0.89864,0.88527,0.90451,0.899,0.90974,0.8988,0.9037,0.90772,0.89654,0.87809,0.89559,0.87986,0.89332,0.87828,0.89511,0.89801,0.87815,0.87829,0.88103,0.88867,0.89845,0.9023,0.91156,0.89007,0.87507,0.88111,0.89927,0.89791,0.90814,0.89011,0.90191,0.89831,0.90474,0.88329,0.8819,0.88259,0.89872,0.8862,0.8911,0.87535,0.90753,0.89714,0.89192,0.88016,0.89405,0.89971,0.88866,0.89102,0.89068,0.88651,0.8891,0.89611,0.85639,0.89398,0.90759,0.89615,0.9003,0.89039,0.89644,0.89287,0.88842,0.89026,0.89158,0.8965,0.89465,0.8943,0.90487,0.89729,0.90307,0.90401,0.90584,0.89028,0.90797,0.90979,0.90421,0.88476,0.90762,0.89307,0.90007,0.8894,0.89499,0.89708,0.90874,0.89616,0.87665,0.88366,0.89225,0.89528,0.90547,0.89978,0.8953,0.89042,0.89698,0.8992,0.90061,0.88082,0.89033,0.8913,0.89998,0.88529,0.904,0.90506,0.90261,0.89458,0.89711,0.89356,0.88939,0.89981,0.87745,0.90562,0.90623,0.88553
A0A2R8YDJ8|1,0.8892,0.88577,0.88663,0.88538,0.0,0.8532,0.598,0.84438,0.8549,0.82042,0.8387,0.79018,0.79602,0.78796,0.82039,0.85571,0.83131,0.84019,0.82543,0.83559,0.83068,0.81803,0.82479,0.82547,0.86894,0.86167,0.84469,0.85686,0.86253,0.8525,0.85866,0.8466,0.83339,0.86964,0.86218,0.84972,0.85318,0.87235,0.82969,0.85312,0.84031,0.82035,0.82731,0.80174,0.82182,0.85293,0.87934,0.88436,0.87266,0.87278,0.89119,0.88673,0.8717,0.90073,0.89843,0.89421,0.89404,0.86053,0.89804,0.88654,0.89208,0.88701,0.8799,0.85413,0.8486,0.85213,0.85295,0.85994,0.85805,0.85735,0.86025,0.87752,0.86519,0.83069,0.88755,0.85491,0.88373,0.87821,0.88466,0.87239,0.86789,0.86091,0.87646,0.88913,0.86406,0.84272,0.86138,0.85068,0.88166,0.83003,0.89419,0.84957,0.85237,0.86572,0.87028,0.8742,0.8793,0.8435,0.8656,0.88488,0.87766,0.85762,0.87525,0.86011,0.8799,0.84836,0.85342,0.8592,0.8751,0.87298,0.87955,0.84489,0.86942,0.87237,0.86144,0.8727,0.87063,0.8756,0.85805,0.85609,0.86951,0.85511,0.85428,0.87045,0.87174,0.83118,0.85379,0.8162,0.86042,0.83354,0.8724,0.87596,0.88765,0.89086,0.86991,0.79404,0.7941,0.84046,0.82427,0.84737,0.83016,0.78051,0.87631,0.87986,0.85637,0.86968,0.86569,0.86204,0.87741,0.8765,0.86013,0.87997,0.85019,0.85022,0.85169,0.85882,0.87065,0.88398,0.84943,0.88617,0.88597,0.86854,0.88868,0.88696,0.88773,0.90154,0.88917,0.7969,0.88722,0.88544,0.89689,0.86854,0.86657,0.89397,0.87644,0.86533,0.86611,0.88221,0.87963,0.88198,0.90344,0.89475,0.88702,0.89304,0.86956,0.88417,0.832,0.87766,0.872,0.8558,0.8635,0.87954,0.88109,0.86228,0.87425,0.85987,0.84593,0.8266,0.8796,0.84832,0.82083,0.8917,0.90331,0.84272
A0A2R8YDJ8|2,0.891,0.87716,0.88544,0.88038,0.8532,0.0,0.84664,0.22134,0.8678,0.85296,0.84835,0.84159,0.8491,0.84838,0.85019,0.8422,0.8329,0.84427,0.85329,0.85938,0.83515,0.84166,0.86275,0.80726,0.8179,0.83979,0.83436,0.77638,0.74228,0.83543,0.83541,0.85172,0.84283,0.84202,0.85277,0.77006,0.76847,0.81004,0.76033,0.8328,0.82097,0.85611,0.8427,0.85623,0.86263,0.82083,0.89155,0.89839,0.88954,0.89177,0.89419,0.88024,0.84065,0.88314,0.89367,0.90549,0.89748,0.88174,0.886,0.86852,0.90024,0.87613,0.86005,0.81173,0.8133,0.87587,0.84158,0.8519,0.79936,0.86902,0.86003,0.8575,0.86493,0.87603,0.8484,0.88546,0.86409,0.88309,0.84407,0.86472,0.88163,0.84972,0.89264,0.86608,0.87774,0.88483,0.88576,0.87393,0.87662,0.87841,0.85877,0.86303,0.86381,0.83265,0.87293,0.86268,0.8688,0.86437,0.84239,0.88188,0.85947,0.86441,0.84735,0.86444,0.86555,0.86062,0.86761,0.8604,0.86039,0.8704,0.8838,0.87389,0.86861,0.84524,0.87538,0.85994,0.87391,0.87302,0.87956,0.88399,0.87501,0.87653,0.81725,0.87322,0.87999,0.83167,0.84606,0.86306,0.86581,0.85558,0.88323,0.89099,0.87806,0.89114,0.85581,0.8352,0.85003,0.84407,0.86604,0.87506,0.83314,0.82424,0.8889,0.88371,0.85863,0.85505,0.85812,0.87713,0.86852,0.86098,0.8772,0.8652,0.87564,0.86948,0.86982,0.84436,0.87324,0.86659,0.88988,0.89488,0.86363,0.87749,0.86793,0.87761,0.91274,0.883,0.8847,0.83646,0.89356,0.8904,0.89574,0.85325,0.87548,0.89316,0.87804,0.86688,0.87803,0.87944,0.88048,0.8572,0.90409,0.90085,0.9,0.88724,0.8813,0.87034,0.8494,0.87803,0.86062,0.85223,0.88559,0.87987,0.86705,0.87636,0.87696,0.86618,0.85502,0.87094,0.86076,0.86663,0.85629,0.89316,0.89018,0.83965
O60729|1,0.89433,0.9005,0.88076,0.87551,0.598,0.84664,0.0,0.8401,0.84173,0.85587,0.82736,0.85374,0.83649,0.76466,0.8343,0.83694,0.82936,0.81734,0.86422,0.81865,0.80166,0.82467,0.84008,0.85448,0.80137,0.79332,0.81187,0.85163,0.81443,0.8085,0.77003,0.7997,0.84654,0.83096,0.82816,0.82434,0.83407,0.85018,0.84581,0.81811,0.83045,0.8353,0.85291,0.86041,0.83083,0.82708,0.88375,0.88047,0.86617,0.89251,0.88011,0.85251,0.86233,0.89586,0.86484,0.89729,0.89722,0.86535,0.88688,0.87909,0.89785,0.88626,0.87594,0.86028,0.8594,0.85801,0.80225,0.86268,0.8344,0.84241,0.82766,0.87858,0.85423,0.85404,0.8377,0.85719,0.87794,0.88868,0.86497,0.85214,0.86916,0.87897,0.87556,0.87611,0.87824,0.87143,0.87326,0.86917,0.86865,0.8653,0.85446,0.86385,0.87668,0.85934,0.86974,0.87255,0.86758,0.85485,0.87374,0.87875,0.86666,0.88859,0.87009,0.87906,0.86915,0.88354,0.87535,0.85487,0.87916,0.85247,0.87792,0.86629,0.8753,0.88965,0.87929,0.8709,0.86311,0.87226,0.87421,0.87305,0.88465,0.87783,0.87811,0.86038,0.82941,0.83751,0.8651,0.85809,0.83567,0.82569,0.87315,0.87548,0.8678,0.87071,0.80764,0.85316,0.79014,0.8394,0.84713,0.8281,0.86107,0.83905,0.86226,0.8856,0.86745,0.89346,0.88621,0.87339,0.87655,0.84409,0.88124,0.87717,0.86038,0.84794,0.88752,0.83242,0.85194,0.8548,0.86732,0.86781,0.88284,0.87735,0.8861,0.87478,0.90513,0.88507,0.87664,0.85496,0.8664,0.88687,0.87491,0.86163,0.86667,0.87855,0.87315,0.83141,0.86175,0.88653,0.82252,0.8623,0.90608,0.89486,0.87548,0.89296,0.85638,0.88099,0.87885,0.86901,0.86221,0.8434,0.87653,0.87676,0.86919,0.87467,0.88197,0.8808,0.89024,0.87139,0.87576,0.84778,0.8839,0.87021,0.87289,0.84422
O60729|2,0.88543,0.90129,0.87385,0.8725,0.84438,0.22134,0.8401,0.0,0.85312,0.83562,0.85384,0.826,0.83182,0.84678,0.84075,0.85512,0.8512,0.84009,0.86822,0.86091,0.83606,0.84003,0.86398,0.8097,0.82973,0.86405,0.81672,0.82243,0.72173,0.83948,0.85127,0.84634,0.83226,0.85051,0.84666,0.76321,0.7436,0.78915,0.80164,0.85314,0.8447,0.84357,0.83062,0.84233,0.8247,0.79128,0.88417,0.87808,0.88069,0.89535,0.88472,0.86803,0.82382,0.88679,0.8961,0.89781,0.89436,0.89823,0.88581,0.89846,0.89874,0.88367,0.87396,0.82017,0.81703,0.87064,0.8055,0.83025,0.78239,0.86801,0.87221,0.88449,0.87511,0.88666,0.85281,0.85487,0.85809,0.86109,0.88709,0.88697,0.87603,0.85928,0.86983,0.877,0.84798,0.87005,0.8697,0.85852,0.85725,0.87666,0.85458,0.86633,0.84175,0.81312,0.85908,0.8692,0.85395,0.86712,0.85767,0.88581,0.85147,0.85392,0.84652,0.85811,0.86392,0.85958,0.86776,0.86712,0.86956,0.8767,0.84815,0.88751,0.86905,0.87532,0.86211,0.87917,0.86217,0.86581,0.87033,0.85008,0.85347,0.88043,0.85692,0.85039,0.85771,0.80624,0.85065,0.84131,0.84585,0.83316,0.88132,0.86542,0.86831,0.88458,0.85146,0.8129,0.81097,0.85322,0.8239,0.84357,0.85089,0.84523,0.8707,0.86135,0.84642,0.84606,0.87808,0.86513,0.86045,0.85465,0.8688,0.86898,0.85153,0.85402,0.85495,0.85505,0.84874,0.86239,0.88294,0.89278,0.86218,0.88602,0.87319,0.89078,0.9152,0.90622,0.87833,0.86663,0.87865,0.8734,0.88403,0.82672,0.86673,0.8964,0.87815,0.87916,0.87748,0.89971,0.84871,0.88953,0.8835,0.90036,0.89283,0.87536,0.88616,0.87761,0.86418,0.87426,0.86384,0.85158,0.87686,0.85529,0.87,0.86008,0.8681,0.85094,0.84235,0.84215,0.88294,0.86555,0.8732,0.86609,0.89411,0.86149
Q16667,0.89951,0.90189,0.89776,0.87365,0.8549,0.8678,0.84173,0.85312,0.0,0.81089,0.83397,0.81284,0.81001,0.83114,0.80374,0.83161,0.84968,0.85074,0.84731,0.83956,0.84148,0.84461,0.83334,0.84061,0.83465,0.85434,0.84848,0.8308,0.85181,0.8454,0.84613,0.83399,0.85048,0.83977,0.83286,0.84586,0.85102,0.83355,0.80041,0.84445,0.85801,0.8443,0.85595,0.85035,0.86451,0.83476,0.88073,0.87784,0.8958,0.88887,0.89901,0.90093,0.8593,0.88844,0.90047,0.88063,0.87567,0.89966,0.85523,0.87736,0.90344,0.88794,0.86829,0.84691,0.80877,0.81708,0.81847,0.86363,0.82151,0.82248,0.84266,0.88359,0.84866,0.82867,0.87106,0.88106,0.88531,0.89034,0.86507,0.84919,0.87624,0.85787,0.86065,0.87229,0.87543,0.86807,0.86842,0.86121,0.86655,0.86815,0.8665,0.88031,0.84535,0.87649,0.87786,0.83424,0.8719,0.8806,0.86568,0.87912,0.87002,0.88063,0.8757,0.87393,0.87927,0.88374,0.86659,0.85853,0.89005,0.87767,0.87029,0.85795,0.87656,0.87265,0.86656,0.87014,0.86426,0.86654,0.86979,0.85917,0.86265,0.86148,0.88711,0.88525,0.88972,0.86114,0.85784,0.83312,0.85795,0.84801,0.87132,0.89036,0.89079,0.87208,0.87454,0.85296,0.82519,0.86605,0.87017,0.84245,0.87346,0.85792,0.88293,0.87223,0.82658,0.85693,0.84845,0.87615,0.86098,0.87124,0.86007,0.87756,0.8518,0.84058,0.86513,0.86083,0.86431,0.86366,0.85935,0.87882,0.88233,0.874,0.88994,0.88823,0.90904,0.91545,0.86923,0.85744,0.87399,0.89547,0.87805,0.86798,0.87923,0.89517,0.87207,0.85838,0.86436,0.89646,0.867,0.88231,0.87555,0.88689,0.90147,0.90076,0.87965,0.86645,0.88038,0.87633,0.86474,0.83632,0.86649,0.86493,0.88492,0.868,0.85829,0.85815,0.85871,0.87307,0.87255,0.89435,0.89012,0.89783,0.89684,0.82799
P28562,0.90189,0.88492,0.89787,0.90334,0.82042,0.85296,0.85587,0.83562,0.81089,0.0,0.23435,0.1202,0.28952,0.5647,0.85332,0.75478,0.5094,0.5136,0.52289,0.55438,0.71353,0.66049,0.55564,0.79261,0.8355,0.82636,0.80445,0.71177,0.75633,0.65286,0.6368,0.65204,0.68932,0.6671,0.78145,0.8186,0.82292,0.79579,0.81375,0.79143,0.87458,0.47957,0.4373,0.49223,0.69469,0.72351,0.88621,0.89148,0.89294,0.88948,0.89772,0.89936,0.86663,0.89791,0.89108,0.8941,0.88997,0.86672,0.87903,0.84675,0.89252,0.87875,0.89156,0.81836,0.78923,0.8527,0.8141,0.84899,0.83344,0.86591,0.86711,0.88505,0.87683,0.86976,0.89089,0.87149,0.87472,0.86386,0.8437,0.86454,0.88107,0.86912,0.86658,0.88268,0.87824,0.87127,0.8783,0.86602,0.86453,0.85865,0.86447,0.87323,0.86692,0.85905,0.85355,0.8718,0.86668,0.89235,0.88805,0.88631,0.86884,0.86046,0.8655,0.87503,0.87356,0.86209,0.85039,0.849,0.88,0.87236,0.86599,0.87081,0.88226,0.86733,0.85676,0.87375,0.8724,0.88018,0.85372,0.85158,0.88926,0.84352,0.88887,0.8712,0.87781,0.8588,0.85266,0.84428,0.8568,0.86023,0.86951,0.89594,0.88356,0.87573,0.83836,0.83971,0.85572,0.8567,0.84951,0.8309,0.8542,0.79872,0.88685,0.84818,0.84517,0.87366,0.86056,0.86413,0.86405,0.87008,0.86669,0.87301,0.8785,0.8828,0.88481,0.81854,0.87548,0.8213,0.86535,0.86718,0.87169,0.86989,0.88313,0.89949,0.90257,0.87851,0.87635,0.85571,0.88223,0.89645,0.87684,0.84494,0.86934,0.89091,0.83923,0.8503,0.87065,0.86928,0.86682,0.87009,0.88802,0.87235,0.87879,0.89136,0.82352,0.84897,0.84352,0.86394,0.87533,0.86605,0.88326,0.88904,0.89344,0.89459,0.89498,0.84455,0.85566,0.83976,0.87834,0.8801,0.87565,0.87381,0.90352,0.81986
