Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q1JI80|RL11_STRPD Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M2 (strain MGAS10270) OX=370552 GN=rplK PE=3 SV=2	1.0	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P66059|RL11_STRP8 Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=rplK PE=3 SV=1	1.0	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P0DE01|RL11_STRPQ Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=rplK PE=3 SV=1	1.0	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|C0MHG3|RL11_STRS7 Large ribosomal subunit protein uL11 OS=Streptococcus equi subsp. zooepidemicus (strain H70) OX=553483 GN=rplK PE=3 SV=1	0.9993658065795898	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q03IP3|RL11_STRTD Large ribosomal subunit protein uL11 OS=Streptococcus thermophilus (strain ATCC BAA-491 / LMD-9) OX=322159 GN=rplK PE=3 SV=1	0.9968223571777344	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q88YX0|RL11_LACPL Large ribosomal subunit protein uL11 OS=Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) OX=220668 GN=rplK PE=3 SV=1	0.9937917590141296	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q03ST9|RL11_LEVBA Large ribosomal subunit protein uL11 OS=Levilactobacillus brevis (strain ATCC 367 / BCRC 12310 / CIP 105137 / JCM 1170 / LMG 11437 / NCIMB 947 / NCTC 947) OX=387344 GN=rplK PE=3 SV=1	0.991865873336792	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A4VW09|RL11_STRSY Large ribosomal subunit protein uL11 OS=Streptococcus suis (strain 05ZYH33) OX=391295 GN=rplK PE=3 SV=1	0.9916686415672302	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B2GAC2|RL11_LIMF3 Large ribosomal subunit protein uL11 OS=Limosilactobacillus fermentum (strain NBRC 3956 / LMG 18251) OX=334390 GN=rplK PE=3 SV=1	0.9900161027908325	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P66054|RL11_LISMO Large ribosomal subunit protein uL11 OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=rplK PE=1 SV=1	0.9890656471252441	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|C7Z7C3|CHO2_FUSV7 Phosphatidylethanolamine N-methyltransferase OS=Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4) OX=660122 GN=CHO2 PE=3 SV=1	0.9941275715827942	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|B8N6H2|CHO2_ASPFN Phosphatidylethanolamine N-methyltransferase OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=cho2 PE=3 SV=1	0.9926028251647949	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q4WZS1|CHO2_ASPFU Phosphatidylethanolamine N-methyltransferase OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=cho2 PE=3 SV=1	0.9893715381622314	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|A6S950|CHO2_BOTFB Phosphatidylethanolamine N-methyltransferase OS=Botryotinia fuckeliana (strain B05.10) OX=332648 GN=CHO2 PE=3 SV=2	0.9877265095710754	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|C5GN10|CHO2_AJEDR Phosphatidylethanolamine N-methyltransferase OS=Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) OX=559297 GN=CHO2 PE=3 SV=1	0.9864342212677002	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|A2R616|CHO2_ASPNC Phosphatidylethanolamine N-methyltransferase OS=Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513) OX=425011 GN=cho2 PE=3 SV=1	0.9696272611618042	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|O74787|CHO2_SCHPO Phosphatidylethanolamine N-methyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cho2 PE=1 SV=1	0.9118272662162781	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|Q6FVB6|CHO2_CANGA Phosphatidylethanolamine N-methyltransferase OS=Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) OX=284593 GN=CHO2 PE=3 SV=1	0.8671826720237732	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|P05374|CHO2_YEAST Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHO2 PE=1 SV=1	0.8466672897338867	success
sp|D1ZIW5|CHO2_SORMK Phosphatidylethanolamine N-methyltransferase OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=CHO2 PE=3 SV=1	sp|C8VRV0|PLMT_EMENI Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=choC PE=3 SV=1	0.7763054370880127	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P50490|AMA1_PLAFG Apical membrane antigen 1 OS=Plasmodium falciparum (isolate FCR-3 / Gambia) OX=5838 GN=AMA-1 PE=1 SV=1	0.8980388045310974	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q82683|GLYCO_IHNVW Glycoprotein OS=Infectious hematopoietic necrosis virus (strain WRAC) OX=429314 GN=G PE=3 SV=1	0.8796858191490173	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q82706|GLYCO_IHNVO Glycoprotein OS=Infectious hematopoietic necrosis virus (strain Oregon69) OX=429315 GN=G PE=3 SV=1	0.876394510269165	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P07923|GLYCO_IHNVR Glycoprotein OS=Infectious hematopoietic necrosis virus (strain Round Butte) OX=11291 GN=G PE=3 SV=2	0.875924825668335	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P0C572|GLYCO_MOKV Glycoprotein OS=Mokola virus OX=12538 GN=G PE=1 SV=1	0.8367552757263184	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|P16205|NRAM_INBUS Neuraminidase OS=Influenza B virus (strain B/USSR/100/1983) OX=230286 GN=NA PE=3 SV=1	0.8218883872032166	success
sp|B6KAM0|AMA1_TOXGV Apical membrane antigen 1 OS=Toxoplasma gondii (strain ATCC 50861 / VEG) OX=432359 GN=AMA1 PE=1 SV=1	sp|Q90021|NRAM_INBYB Neuraminidase OS=Influenza B virus (strain B/Yamagata/16/1988) OX=416674 GN=NA PE=3 SV=1	0.8181989789009094	success
