tr|A0A0A2WD25|A0A0A2WD25_BEABA	tr|A0A0K6LV95|A0A0K6LV95_BACIU	tr|A0A0K6LV95|A0A0K6LV95_BACIU GTP pyrophosphokinase OS=Bacillus subtilis GN=relA PE=3 SV=1 Split=0 	0.0
sp|B7UM74|RECG_ECO27	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.71e-135
sp|O26051|RECG_HELPY	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	4.70e-60
sp|O34942|RECG_BACSU	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	0.0
sp|O50581|RECG_STAA8	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	0.0
sp|O67837|RECG_AQUAE	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	7.29e-145
sp|P24230|RECG_ECOLI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.33e-135
sp|P43809|RECG_HAEIN	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	8.46e-147
sp|P9WMQ7|RECG_MYCTU	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.52e-123
sp|Q54900|RECG_STRPN	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|Q9HTL3|Q9HTL3_PSEAE	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	8.23e-148
sp|Q9WY48|RECG_THEMA	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.89e-176
tr|A0A3N5GWT5|A0A3N5GWT5_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	7.61e-151
tr|A0A660MR64|A0A660MR64_UNCGA	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	4.65e-143
sp|O50224|RECG_ACIFI	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	4.49e-133
sp|O51528|RECG_BORBU	tr|A0A109NWT2|A0A109NWT2_9SPIR	tr|A0A109NWT2|A0A109NWT2_9SPIR DNA recombinase (Fragment) OS=Candidatus Borrelia mayonii GN=recG PE=4 SV=1 Split=0 	3.46e-166
sp|O69460|RECG_MYCLE	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	7.42e-115
sp|P64323|RECG_MYCBO	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.52e-123
sp|P64324|RECG_STAAM	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	0.0
sp|P64325|RECG_STAAN	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	0.0
sp|P96130|RECG_TREPA	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	8.57e-142
sp|P9WMQ6|RECG_MYCTO	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.52e-123
sp|Q55681|RECG_SYNY3	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	8.98e-171
sp|Q5HGK6|RECG_STAAC	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	0.0
sp|Q5HPW4|RECG_STAEQ	tr|A0A0V9V962|A0A0V9V962_STAEP	tr|A0A0V9V962|A0A0V9V962_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis GN=recG PE=3 SV=1 Split=0 	0.0
sp|Q6G9Y6|RECG_STAAS	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	0.0
sp|Q6GHK8|RECG_STAAR	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	0.0
sp|Q8CSV3|RECG_STAES	tr|D4FJM8|D4FJM8_STAEP	tr|D4FJM8|D4FJM8_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis M23864:W2(grey) GN=recG PE=3 SV=1 Split=0 	0.0
sp|Q8NX11|RECG_STAAW	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3	tr|A0A0H2XIE8|A0A0H2XIE8_STAA3 ATP-dependent DNA helicase RecG OS=Staphylococcus aureus (strain USA300) GN=recG PE=3 SV=1 Split=0 	0.0
sp|Q8XD86|RECG_ECO57	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	6.55e-136
sp|Q9CMB4|RECG_PASMU	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	6.49e-149
sp|Q9ZJA1|RECG_HELPJ	tr|D4FJM8|D4FJM8_STAEP	tr|D4FJM8|D4FJM8_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis M23864:W2(grey) GN=recG PE=3 SV=1 Split=0 	1.67e-59
tr|A0A009HUE2|A0A009HUE2_ACIB9	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	4.57e-144
tr|A0A009I1V3|A0A009I1V3_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.42e-141
tr|A0A009MK42|A0A009MK42_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.13e-142
tr|A0A009Q4A3|A0A009Q4A3_ACIBA	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.08e-143
tr|A0A009RA18|A0A009RA18_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	9.05e-143
tr|A0A009SL35|A0A009SL35_ACIBA	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.15e-143
tr|A0A009YJJ1|A0A009YJJ1_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	3.01e-145
tr|A0A010IJ39|A0A010IJ39_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	2.71e-142
tr|A0A010RSA8|A0A010RSA8_PSEFL	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	3.19e-147
tr|A0A011MAK4|A0A011MAK4_9PROT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.40e-140
tr|A0A011QF12|A0A011QF12_9PROT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	7.78e-140
tr|A0A011QWM4|A0A011QWM4_9LACT	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A013TMB9|A0A013TMB9_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	2.71e-142
tr|A0A013UCY2|A0A013UCY2_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	7.25e-144
tr|A0A014M7A2|A0A014M7A2_9GAMM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	7.29e-140
tr|A0A014N5H3|A0A014N5H3_9ACTN	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.90e-135
tr|A0A014Q9T6|A0A014Q9T6_9BURK	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	1.96e-142
tr|A0A015SKY4|A0A015SKY4_BACFG	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.33e-151
tr|A0A015U243|A0A015U243_BACFG	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	4.93e-150
tr|A0A015Y4L4|A0A015Y4L4_BACFG	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	2.13e-150
tr|A0A016A735|A0A016A735_BACFG	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	7.11e-150
