Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q724G4|RL11_LISMF Large ribosomal subunit protein uL11 OS=Listeria monocytogenes serotype 4b (strain F2365) OX=265669 GN=rplK PE=3 SV=1	0.9986482262611389	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A6TWJ4|RL11_ALKMQ Large ribosomal subunit protein uL11 OS=Alkaliphilus metalliredigens (strain QYMF) OX=293826 GN=rplK PE=3 SV=1	0.9976959228515625	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B1X076|RL11_CROS5 Large ribosomal subunit protein uL11 OS=Crocosphaera subtropica (strain ATCC 51142 / BH68) OX=43989 GN=rplK PE=3 SV=1	0.9973198175430298	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A8A782|RL11_ECOHS Large ribosomal subunit protein uL11 OS=Escherichia coli O9:H4 (strain HS) OX=331112 GN=rplK PE=3 SV=1	0.9973179697990417	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|P0A7K1|RL11_SALTI Large ribosomal subunit protein uL11 OS=Salmonella typhi OX=90370 GN=rplK PE=3 SV=2	0.9973179697990417	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A5UH22|RL11_HAEIG Large ribosomal subunit protein uL11 OS=Haemophilus influenzae (strain PittGG) OX=374931 GN=rplK PE=3 SV=1	0.9971805214881897	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A9QZM4|RL11_YERPG Large ribosomal subunit protein uL11 OS=Yersinia pestis bv. Antiqua (strain Angola) OX=349746 GN=rplK PE=3 SV=1	0.9971524477005005	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A8MLC8|RL11_ALKOO Large ribosomal subunit protein uL11 OS=Alkaliphilus oremlandii (strain OhILAs) OX=350688 GN=rplK PE=3 SV=1	0.9970121383666992	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B7V633|RL11_PSEA8 Large ribosomal subunit protein uL11 OS=Pseudomonas aeruginosa (strain LESB58) OX=557722 GN=rplK PE=3 SV=1	0.9969128370285034	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A9IJ32|RL11_BORPD Large ribosomal subunit protein uL11 OS=Bordetella petrii (strain ATCC BAA-461 / DSM 12804 / CCUG 43448) OX=340100 GN=rplK PE=3 SV=1	0.9968727827072144	success
