ID,P09923,P05186,P05187,P10696,A0A2R8YDJ8|1,A0A2R8YDJ8|2,O60729|1,O60729|2,Q16667,P28562,Q05923,Q13115,Q16690,Q9Y6W6,O75319,Q9UNI6,Q6FI36,Q8NEJ0,Q9H596,Q4G0W2,Q9H1R2,Q9NRW4,Q8WTR2,Q9BVJ7,Q68J44,Q9UII6,Q9BV47,Q5VZP5,P51452,Q16828,Q16829,Q99956,Q9BY84,Q13202,O95278,Q93096,Q12974,O75365,A2A3K4,Q8WUK0,O60942,Q8WYL5,Q76I76,Q8TE77,Q8WUJ0,Q9Y6J8,Q13496,Q13613,Q13614,Q9NXD2,A4FU01,Q9C0I1,Q8NCE2,Q13615,Q9NYA4,O95248,Q86WG5,Q9Y217,Q9Y216,Q96EF0,Q96QG7,Q9ULE6|1,Q9ULE6|2,O75061,O14976,P60484,Q9HBL0,Q63HR2,Q68CZ2,P56180,Q6XPS3,P18031,P17706,Q05209,Q99952,Q9Y2R2,Q12923,Q4JDL3,Q15678,Q16825,Q9H3S7,P26045,P29074,P54829,P35236,Q15256,Q06124,Q53XS4,Q6IQ43,P18433|1,P18433|2,P23469|1,P23469|2,P23467,Q9HD43,Q12913,Q16827,A0A087WZU1,P08575|1,P08575|2,Q2HXI4|1,Q2HXI4|2,P10586|1,P10586|2,Q13332|1,Q13332|2,P23470|1,P23470|2,P23471|1,P23471|2,Q5TG12|1,Q5TG12|2,P28827|1,P28827|2,O14522|1,O14522|2,Q92729|1,Q92729|2,Q16849,Q92932,Q92562,Q9Y2H2,Q9NTJ5,O43426,O15056,P24666,Q9NP77,P30304,P30305,P30307,Q99502,O00167,Q99504,A0A0S2Z3Q2,Q05D32,O95476,Q9Y5B0,Q9GZU7,O14595,O15194,Q3ZCQ8,Q8WVY7,Q9BXW7,Q9H0R4,Q9H008,Q96GD0,A6NDG6,P16118,O60825,Q16875,Q16877,P07738,Q6FHU2,P15259,Q8N0Y7,Q96HS1,P57075,Q8TF42,Q9NQ88,P11117,P15309,Q9BZG2,Q9NPH0,Q9UNW1,B7WPL9,A0A087WZV0,Q8TE99,Q9NRX4,Q9H0C8,Q9P0J1,Q9P2J9,O60346,Q6ZVD8,A8MPX8,P35813,O75688,Q8N819,O15297,Q8WY54,P49593,O15355,Q9ULR3,Q5JR12,Q96MI6,Q8N3J5,Q5SGD2,Q8NI37,Q15750,P13686,Q6ZNF0,P62136,P62140,P36873,P67775,P62714,Q08209,P16298,P48454,P60510,P53041,O00743,O14829,O14830,Q8IXW5
P09923,1.0,0.23077,0.85714,0.84933,0.12475,0.11715,0.10869,0.12784,0.11528,0.10356,0.11644,0.10329,0.11186,0.1272,0.11057,0.12033,0.11495,0.1204,0.11242,0.10376,0.10559,0.11767,0.17501,0.10727,0.12529,0.13982,0.12375,0.1381,0.12863,0.10978,0.12046,0.11229,0.12409,0.10457,0.11222,0.10033,0.11737,0.12105,0.11058,0.11135,0.12575,0.11345,0.10667,0.11496,0.1158,0.10462,0.10714,0.10109,0.1102,0.11008,0.10141,0.11757,0.11449,0.11601,0.11088,0.11319,0.10785,0.11692,0.10913,0.11097,0.12878,0.09918,0.12567,0.11292,0.10776,0.10819,0.1043,0.11048,0.11099,0.11216,0.105,0.14058,0.12564,0.12728,0.10531,0.10005,0.12887,0.11656,0.11012,0.11951,0.12736,0.11521,0.104,0.11041,0.11105,0.11125,0.09664,0.12585,0.11594,0.10213,0.12531,0.1107,0.10141,0.11624,0.12379,0.12655,0.11158,0.1049,0.10971,0.11007,0.12584,0.12386,0.1345,0.13305,0.11695,0.13186,0.131,0.13121,0.10087,0.13701,0.11151,0.13439,0.10664,0.11223,0.10622,0.13126,0.11244,0.10121,0.10793,0.11313,0.1124,0.11597,0.11982,0.13002,0.11794,0.12166,0.11,0.11734,0.10979,0.11442,0.11876,0.12798,0.11824,0.11892,0.12836,0.12772,0.11931,0.10326,0.09588,0.10402,0.12929,0.10766,0.12013,0.10538,0.12651,0.11054,0.10464,0.1111,0.11007,0.1081,0.12808,0.12972,0.13446,0.12293,0.14764,0.11205,0.12553,0.10582,0.11011,0.11484,0.11674,0.10584,0.1275,0.10913,0.10895,0.11433,0.11314,0.11111,0.10209,0.1106,0.12665,0.11303,0.11707,0.11795,0.10565,0.10835,0.13286,0.11198,0.10537,0.12629,0.10283,0.1115,0.10052,0.12606,0.11037,0.10774,0.10125,0.11667,0.12208,0.10592,0.10447,0.11402,0.0969,0.12878,0.1279,0.10385,0.11932,0.12234,0.10595,0.1234,0.13137,0.1185,0.09669,0.12148
P05186,0.23077,1.0,0.22122,0.21876,0.11668,0.11947,0.10177,0.10277,0.10985,0.11987,0.13622,0.11221,0.12421,0.11094,0.10539,0.11417,0.11823,0.12231,0.1004,0.1011,0.11209,0.11942,0.11358,0.11533,0.11921,0.11621,0.10955,0.13877,0.11589,0.09609,0.09736,0.10775,0.10789,0.10239,0.10393,0.10779,0.11681,0.11847,0.11141,0.13399,0.09897,0.1027,0.1059,0.10336,0.1137,0.11758,0.12501,0.12784,0.12489,0.12489,0.15334,0.1118,0.12322,0.11133,0.11069,0.10947,0.12084,0.11282,0.10723,0.10484,0.10084,0.10071,0.11752,0.10537,0.09866,0.1038,0.11082,0.12252,0.11957,0.1036,0.10235,0.13329,0.11925,0.12678,0.11078,0.11675,0.13061,0.10594,0.12758,0.1013,0.10262,0.11624,0.10987,0.11374,0.10466,0.11388,0.12657,0.1103,0.11872,0.10527,0.10587,0.11946,0.10084,0.10792,0.11095,0.11007,0.09846,0.11449,0.12128,0.12656,0.1113,0.11617,0.11025,0.12016,0.11214,0.11816,0.10982,0.12779,0.10229,0.10669,0.11562,0.13583,0.11087,0.12734,0.11922,0.1168,0.1121,0.1121,0.11964,0.11735,0.14089,0.10519,0.10114,0.11936,0.13319,0.11493,0.1175,0.09972,0.11564,0.11365,0.12199,0.10816,0.11944,0.12043,0.12864,0.12378,0.10498,0.108,0.11169,0.10869,0.1058,0.1067,0.13602,0.10081,0.10614,0.11898,0.11709,0.13905,0.10338,0.10522,0.13597,0.10326,0.10883,0.09773,0.11019,0.11709,0.12105,0.1059,0.11587,0.10426,0.10753,0.13358,0.13049,0.11871,0.09928,0.10128,0.12386,0.10043,0.11306,0.1089,0.10632,0.09748,0.11165,0.11869,0.11286,0.11663,0.11854,0.11423,0.1189,0.12681,0.1399,0.10408,0.13233,0.1099,0.11835,0.10595,0.12256,0.10704,0.14476,0.14562,0.11379,0.11019,0.10436,0.11894,0.13373,0.1182,0.13929,0.11202,0.12741,0.11437,0.12156,0.10929,0.10364,0.10856
P05187,0.85714,0.22122,1.0,0.94738,0.12298,0.12481,0.11357,0.13273,0.12129,0.1025,0.11163,0.11134,0.10556,0.12781,0.10689,0.11906,0.10359,0.12081,0.10691,0.09899,0.11121,0.10468,0.1587,0.11202,0.12109,0.15028,0.10962,0.12513,0.11315,0.1165,0.10763,0.10262,0.10886,0.11725,0.11061,0.11291,0.1115,0.11536,0.10787,0.10617,0.11788,0.12814,0.12492,0.12378,0.1212,0.11124,0.1034,0.12094,0.10523,0.10623,0.10725,0.11802,0.12745,0.10907,0.10909,0.11581,0.12867,0.11113,0.12236,0.11028,0.12989,0.10573,0.10989,0.11515,0.1324,0.10843,0.10622,0.12213,0.10199,0.11143,0.09869,0.11724,0.11729,0.10226,0.11881,0.10976,0.12594,0.1208,0.11918,0.10512,0.12537,0.11626,0.1251,0.10986,0.10852,0.1145,0.1041,0.14004,0.11274,0.10608,0.1324,0.11926,0.10889,0.11894,0.12413,0.11012,0.113,0.09964,0.10924,0.11409,0.10852,0.11198,0.11089,0.11116,0.11304,0.11452,0.12342,0.1055,0.10058,0.12914,0.1064,0.12049,0.10847,0.10717,0.11422,0.12488,0.12857,0.12865,0.11291,0.12784,0.11197,0.12368,0.13292,0.10696,0.1131,0.11053,0.1197,0.10659,0.12286,0.12306,0.11286,0.12787,0.09814,0.11888,0.12113,0.1161,0.11588,0.1087,0.09825,0.10067,0.11815,0.11158,0.10241,0.11557,0.15545,0.11293,0.10654,0.11301,0.12473,0.11008,0.10788,0.11437,0.12478,0.12101,0.13269,0.11722,0.11753,0.12433,0.10836,0.12036,0.10827,0.1031,0.11344,0.13139,0.105,0.12386,0.11841,0.13035,0.09915,0.11138,0.12164,0.1044,0.12115,0.10315,0.10662,0.12107,0.12352,0.12292,0.14102,0.11479,0.1135,0.1237,0.10153,0.11268,0.12367,0.10414,0.10054,0.14193,0.1273,0.13018,0.12073,0.12934,0.11436,0.11998,0.1178,0.09823,0.09994,0.10397,0.11392,0.11465,0.14148,0.13049,0.10984,0.12248
P10696,0.84933,0.21876,0.94738,1.0,0.11635,0.12652,0.13059,0.1321,0.11371,0.09781,0.11521,0.1161,0.10635,0.11128,0.10552,0.11027,0.12096,0.11852,0.10773,0.10786,0.10111,0.10047,0.15456,0.11688,0.12506,0.14021,0.11396,0.11844,0.11829,0.11473,0.11727,0.10026,0.10296,0.11881,0.11302,0.11672,0.1014,0.10592,0.10606,0.11596,0.1253,0.13311,0.12034,0.13661,0.11872,0.11872,0.10507,0.10854,0.10286,0.11244,0.10467,0.11881,0.12112,0.10295,0.10251,0.11838,0.12386,0.10614,0.11018,0.10559,0.13129,0.10239,0.1089,0.11157,0.10611,0.10311,0.1154,0.11953,0.10296,0.11554,0.10245,0.1108,0.11828,0.10012,0.11705,0.10319,0.12857,0.12049,0.1175,0.11657,0.11961,0.1159,0.1163,0.12069,0.11913,0.10966,0.12874,0.12746,0.12032,0.09899,0.12455,0.12323,0.11685,0.12841,0.11504,0.11102,0.11176,0.10177,0.10493,0.1167,0.1118,0.13849,0.11731,0.13916,0.11679,0.14593,0.11441,0.10088,0.12102,0.11308,0.10959,0.12091,0.11154,0.11085,0.11,0.12332,0.13209,0.11774,0.11668,0.11965,0.11903,0.12472,0.12169,0.10539,0.10586,0.11377,0.11538,0.11893,0.1032,0.11934,0.11834,0.13941,0.11151,0.12538,0.12604,0.11552,0.11251,0.10515,0.10843,0.11007,0.1192,0.11035,0.10972,0.13004,0.14169,0.11266,0.11303,0.11617,0.12688,0.10525,0.11405,0.11481,0.11905,0.11293,0.12326,0.10519,0.12344,0.11137,0.1114,0.12477,0.12239,0.10682,0.11026,0.13738,0.10974,0.1235,0.10609,0.13026,0.1101,0.12154,0.11771,0.10273,0.12188,0.10734,0.09597,0.1169,0.13365,0.11144,0.11513,0.11734,0.11065,0.12763,0.1119,0.10582,0.10909,0.10075,0.10478,0.11874,0.12379,0.114,0.10618,0.13392,0.11027,0.10575,0.10524,0.10579,0.11651,0.10511,0.11373,0.10755,0.13969,0.12247,0.10556,0.12752
A0A2R8YDJ8|1,0.12475,0.11668,0.12298,0.11635,1.0,0.13872,0.41043,0.15544,0.14846,0.174,0.16263,0.20933,0.20282,0.20911,0.17191,0.14864,0.16642,0.16642,0.17544,0.16964,0.17554,0.17975,0.17458,0.17281,0.1368,0.14042,0.15874,0.1434,0.14819,0.15196,0.15352,0.15256,0.15788,0.13007,0.1496,0.15656,0.14001,0.1269,0.17193,0.15302,0.1589,0.18228,0.17456,0.19133,0.18948,0.14878,0.12194,0.13627,0.13297,0.1282,0.09786,0.11962,0.13275,0.10112,0.11053,0.11051,0.11189,0.13963,0.11539,0.11765,0.11048,0.1164,0.11898,0.14184,0.14909,0.157,0.14615,0.14637,0.14331,0.13778,0.14046,0.11876,0.14157,0.16478,0.11719,0.14105,0.12117,0.12282,0.12089,0.13336,0.14322,0.14424,0.12201,0.11569,0.13609,0.16546,0.14572,0.15291,0.13047,0.15927,0.10657,0.14509,0.14283,0.13098,0.13458,0.13616,0.12675,0.14979,0.13249,0.1262,0.12718,0.14035,0.12635,0.14758,0.12863,0.15353,0.14867,0.14613,0.13483,0.12551,0.12958,0.15121,0.13332,0.13416,0.13575,0.14662,0.12732,0.12106,0.14286,0.14394,0.12624,0.14173,0.14536,0.12878,0.13669,0.16679,0.14573,0.18228,0.13599,0.16746,0.14288,0.12669,0.1147,0.12338,0.13668,0.21003,0.20406,0.15858,0.17822,0.15302,0.16707,0.21832,0.14361,0.12644,0.14793,0.13752,0.14283,0.13979,0.11688,0.12353,0.14291,0.11514,0.15693,0.16335,0.15176,0.14985,0.13572,0.10965,0.15069,0.12743,0.11502,0.1361,0.11158,0.11258,0.11689,0.11999,0.11569,0.20576,0.11264,0.11797,0.11818,0.13011,0.14093,0.12233,0.13374,0.13571,0.1332,0.12183,0.13277,0.11516,0.10829,0.11982,0.12411,0.11298,0.13423,0.11929,0.16763,0.13079,0.12906,0.14321,0.13679,0.12218,0.11965,0.13649,0.12027,0.13974,0.15701,0.17342,0.13261,0.17425,0.1744,0.10152,0.1047,0.15329
A0A2R8YDJ8|2,0.11715,0.11947,0.12481,0.12652,0.13872,1.0,0.14491,0.77073,0.12983,0.15015,0.14725,0.1599,0.15397,0.14149,0.15755,0.15839,0.164,0.15694,0.15729,0.13762,0.1695,0.16223,0.14248,0.1926,0.18138,0.163,0.15978,0.21913,0.25195,0.15902,0.15637,0.14356,0.16012,0.15877,0.1506,0.23407,0.23482,0.19117,0.24081,0.16474,0.17562,0.14413,0.1585,0.13871,0.14134,0.18144,0.11299,0.13158,0.12421,0.11756,0.11662,0.11879,0.16032,0.10951,0.11456,0.12439,0.10875,0.12657,0.11252,0.12355,0.09932,0.13811,0.14776,0.18307,0.19108,0.12421,0.16068,0.15094,0.20631,0.14292,0.14852,0.14624,0.1307,0.13035,0.14607,0.1267,0.14113,0.12448,0.15498,0.13811,0.11664,0.1588,0.11677,0.13805,0.1215,0.119,0.11896,0.13808,0.12204,0.12501,0.1486,0.13372,0.12668,0.16388,0.13428,0.13763,0.13641,0.13851,0.15509,0.12185,0.15074,0.13493,0.1587,0.14128,0.14472,0.14012,0.14132,0.13053,0.13538,0.13421,0.11347,0.12649,0.12745,0.15473,0.12531,0.14215,0.13502,0.12953,0.12846,0.11353,0.13514,0.12533,0.20401,0.13307,0.13137,0.16473,0.15179,0.13542,0.13408,0.14596,0.12615,0.11057,0.12354,0.11027,0.14787,0.16223,0.15716,0.15783,0.13575,0.13154,0.16803,0.17633,0.11726,0.11248,0.1425,0.14925,0.13947,0.12208,0.1235,0.14366,0.12382,0.13849,0.12873,0.13892,0.13813,0.14885,0.1311,0.14011,0.11615,0.11134,0.13348,0.14126,0.12089,0.14009,0.11102,0.12023,0.12145,0.15768,0.11133,0.11766,0.107,0.15908,0.1201,0.11273,0.14301,0.13413,0.11945,0.12386,0.12613,0.14193,0.11788,0.10132,0.10387,0.11255,0.12639,0.1206,0.15519,0.12039,0.13462,0.14579,0.13048,0.12468,0.13928,0.12572,0.12893,0.12678,0.14026,0.13173,0.13945,0.1435,0.13615,0.10797,0.11764,0.16314
O60729|1,0.10869,0.10177,0.11357,0.13059,0.41043,0.14491,1.0,0.16099,0.1643,0.13623,0.17605,0.13995,0.16668,0.22817,0.16904,0.16462,0.16238,0.19055,0.13638,0.17594,0.20847,0.18568,0.16218,0.14267,0.20043,0.21273,0.1851,0.1501,0.18616,0.18888,0.22234,0.19777,0.15184,0.17349,0.17258,0.17341,0.16366,0.15219,0.15986,0.17837,0.16913,0.16165,0.15172,0.13619,0.16497,0.17954,0.11587,0.1177,0.12368,0.11494,0.11684,0.13998,0.14418,0.11019,0.13018,0.10797,0.1044,0.14459,0.13116,0.11344,0.10554,0.11393,0.13228,0.13959,0.14794,0.13567,0.20066,0.13847,0.16858,0.15494,0.16974,0.11516,0.13956,0.1464,0.15995,0.15318,0.12297,0.11838,0.14999,0.16322,0.13234,0.11505,0.11952,0.13029,0.11998,0.13076,0.12239,0.12582,0.13294,0.13812,0.13416,0.15175,0.12873,0.14591,0.12706,0.13012,0.13591,0.14763,0.12364,0.13854,0.13211,0.10744,0.12903,0.12245,0.12931,0.11943,0.12858,0.15004,0.12776,0.15482,0.12466,0.13209,0.10991,0.11004,0.12626,0.12469,0.14056,0.12186,0.12656,0.1258,0.12363,0.13415,0.12815,0.14198,0.16963,0.1668,0.13736,0.14701,0.16212,0.17919,0.13036,0.12057,0.12892,0.12766,0.19659,0.14677,0.21367,0.16817,0.15685,0.17357,0.14412,0.17589,0.13293,0.12307,0.1299,0.11373,0.12203,0.12662,0.12471,0.15405,0.12733,0.13112,0.13665,0.15488,0.11115,0.16539,0.14834,0.14049,0.12751,0.12122,0.12578,0.11816,0.12382,0.13678,0.11263,0.11375,0.12187,0.14334,0.13752,0.1133,0.12197,0.14402,0.13827,0.11866,0.14344,0.17341,0.14533,0.10721,0.18095,0.16378,0.12024,0.11112,0.12581,0.10615,0.14368,0.1226,0.11739,0.13095,0.13805,0.14521,0.12251,0.12921,0.13054,0.1212,0.11424,0.12114,0.11102,0.13434,0.13123,0.15539,0.11855,0.13644,0.1303,0.16139
O60729|2,0.12784,0.10277,0.13273,0.1321,0.15544,0.77073,0.16099,1.0,0.14839,0.1622,0.14898,0.17621,0.16772,0.14967,0.15901,0.15054,0.15153,0.16556,0.13439,0.13444,0.16997,0.16873,0.13627,0.1927,0.16811,0.13234,0.18336,0.17432,0.27243,0.16518,0.15046,0.16264,0.17574,0.1484,0.15993,0.23983,0.26239,0.21572,0.19683,0.14544,0.15294,0.16086,0.17521,0.15524,0.18097,0.21538,0.11809,0.14152,0.12832,0.12611,0.10956,0.13126,0.18003,0.12567,0.10917,0.1155,0.10874,0.10664,0.1203,0.10732,0.11954,0.12446,0.12532,0.18013,0.19415,0.13343,0.1878,0.16534,0.21061,0.12595,0.13618,0.12958,0.13261,0.11793,0.14948,0.14984,0.13392,0.12771,0.12396,0.1232,0.13037,0.13935,0.14089,0.12667,0.15326,0.13012,0.13137,0.14337,0.13501,0.12792,0.16152,0.1332,0.15809,0.18918,0.15327,0.13078,0.14479,0.13781,0.15511,0.10978,0.15283,0.15073,0.15631,0.14345,0.14793,0.14654,0.13186,0.1335,0.12486,0.12281,0.16078,0.11525,0.13756,0.12823,0.14532,0.12807,0.14118,0.1445,0.12181,0.15299,0.16245,0.12043,0.15593,0.15312,0.14049,0.19599,0.15481,0.16498,0.16343,0.16896,0.12442,0.1335,0.13224,0.11577,0.14459,0.18699,0.19694,0.14673,0.17317,0.16725,0.14857,0.15706,0.12465,0.13902,0.15437,0.16998,0.12564,0.12677,0.13171,0.1435,0.14037,0.13143,0.14377,0.13834,0.1392,0.14478,0.15146,0.14286,0.12912,0.12571,0.14322,0.12866,0.12214,0.11592,0.10933,0.11448,0.13226,0.13436,0.12247,0.13168,0.11587,0.17761,0.1268,0.11784,0.11877,0.11569,0.12649,0.10169,0.15194,0.11158,0.1139,0.1075,0.11182,0.13039,0.11251,0.11949,0.13751,0.12196,0.13418,0.13552,0.13593,0.15067,0.14659,0.14993,0.13133,0.15379,0.16315,0.15931,0.1227,0.15062,0.12516,0.12458,0.10823,0.14293
Q16667,0.11528,0.10985,0.12129,0.11371,0.14846,0.12983,0.1643,0.14839,1.0,0.19433,0.17225,0.18291,0.19004,0.15606,0.19772,0.16308,0.15767,0.15109,0.15405,0.15491,0.15868,0.15541,0.1636,0.1579,0.17455,0.14717,0.15734,0.17593,0.14696,0.15601,0.14918,0.1657,0.15155,0.15458,0.1629,0.15319,0.1517,0.16883,0.20412,0.15984,0.14102,0.15713,0.15172,0.15682,0.13892,0.16747,0.13157,0.13054,0.11065,0.10719,0.11039,0.11077,0.13846,0.10893,0.10306,0.13064,0.11833,0.1118,0.14515,0.12084,0.10362,0.10994,0.14407,0.14369,0.19148,0.19055,0.18008,0.13466,0.17814,0.18112,0.15949,0.11491,0.14629,0.17625,0.12815,0.12334,0.11889,0.12035,0.1327,0.1575,0.1297,0.1488,0.1355,0.12745,0.12903,0.14379,0.12438,0.13876,0.12993,0.13342,0.12947,0.12506,0.15771,0.12867,0.12506,0.15795,0.13123,0.1248,0.15082,0.1316,0.12938,0.12412,0.12459,0.13058,0.12106,0.11323,0.13869,0.1398,0.11885,0.12321,0.14292,0.14177,0.12794,0.12634,0.12914,0.12708,0.13548,0.14159,0.13882,0.14558,0.13035,0.14228,0.11467,0.1319,0.11332,0.13906,0.13883,0.16521,0.1419,0.15174,0.12994,0.11197,0.11314,0.13682,0.12435,0.14518,0.1747,0.1333,0.13251,0.15718,0.131,0.14487,0.11625,0.12485,0.17924,0.14079,0.14877,0.11426,0.13484,0.12716,0.13282,0.12771,0.14507,0.16195,0.13388,0.14217,0.1367,0.14437,0.13345,0.11251,0.10868,0.13172,0.12141,0.10746,0.11156,0.10199,0.1249,0.14458,0.12693,0.12132,0.11016,0.13756,0.13505,0.11474,0.13498,0.14717,0.13018,0.10492,0.13249,0.11368,0.12794,0.11687,0.10732,0.10766,0.12034,0.1351,0.12202,0.12769,0.13719,0.15449,0.13624,0.13234,0.11145,0.13937,0.14402,0.1422,0.14064,0.12886,0.13125,0.11733,0.11425,0.12164,0.11147,0.17591
P28562,0.10356,0.11987,0.1025,0.09781,0.174,0.15015,0.13623,0.1622,0.19433,1.0,0.76882,0.88681,0.71808,0.43424,0.14453,0.24219,0.48982,0.47875,0.47134,0.44218,0.29272,0.34785,0.45077,0.21018,0.16535,0.17666,0.1924,0.28245,0.23876,0.35149,0.37052,0.34558,0.31401,0.33352,0.22332,0.18978,0.17461,0.20572,0.18639,0.20702,0.13051,0.52101,0.56268,0.50841,0.30198,0.28062,0.10599,0.10583,0.11175,0.1154,0.10356,0.11422,0.13711,0.11037,0.11808,0.10782,0.12593,0.12862,0.1151,0.14925,0.1112,0.13096,0.11729,0.1883,0.20924,0.14745,0.18857,0.15669,0.17297,0.12265,0.1324,0.12104,0.12568,0.12546,0.11587,0.12945,0.12836,0.14107,0.15833,0.14685,0.13166,0.12821,0.13875,0.11368,0.12152,0.12518,0.12706,0.14187,0.13363,0.1324,0.13644,0.127,0.13932,0.14107,0.14353,0.13711,0.13204,0.1036,0.11742,0.12187,0.12782,0.14024,0.13174,0.12369,0.12957,0.14266,0.1466,0.15987,0.12824,0.11907,0.14414,0.12537,0.12246,0.1452,0.15435,0.13592,0.13397,0.11914,0.14959,0.15165,0.12524,0.15585,0.12525,0.12208,0.11701,0.13649,0.14691,0.1589,0.1445,0.13838,0.12641,0.11134,0.11767,0.11957,0.16707,0.15714,0.14418,0.14245,0.15223,0.17186,0.1485,0.2081,0.12245,0.15447,0.15594,0.12843,0.1461,0.13155,0.13132,0.12386,0.1352,0.13616,0.12839,0.12236,0.127,0.18393,0.13853,0.18404,0.13322,0.1424,0.13103,0.13784,0.13405,0.10829,0.11598,0.12519,0.11828,0.13975,0.13268,0.11714,0.11864,0.15949,0.12852,0.11563,0.15206,0.15866,0.13001,0.12917,0.12672,0.14195,0.12243,0.12182,0.11565,0.11374,0.17589,0.14857,0.16589,0.13681,0.13082,0.12955,0.11607,0.11504,0.12004,0.11471,0.1103,0.1605,0.14957,0.1635,0.13565,0.11658,0.1257,0.12218,0.10326,0.17932
