"","P09923","P05186","P05187","P10696","A0A2R8YDJ8.1","A0A2R8YDJ8.2","O60729.1","O60729.2","Q16667","P28562","Q05923","Q13115","Q16690","Q9Y6W6","O75319","Q9UNI6","Q6FI36","Q8NEJ0","Q9H596","Q4G0W2","Q9H1R2","Q9NRW4","Q8WTR2","Q9BVJ7","Q68J44","Q9UII6","Q9BV47","Q5VZP5","P51452","Q16828","Q16829","Q99956","Q9BY84","Q13202","O95278","Q93096","Q12974","O75365","A2A3K4","Q8WUK0","O60942","Q8WYL5","Q76I76","Q8TE77","Q8WUJ0","Q9Y6J8","Q13496","Q13613","Q13614","Q9NXD2","A4FU01","Q9C0I1","Q8NCE2","Q13615","Q9NYA4","O95248","Q86WG5","Q9Y217","Q9Y216","Q96EF0","Q96QG7","Q9ULE6.1","Q9ULE6.2","O75061","O14976","P60484","Q9HBL0","Q63HR2","Q68CZ2","P56180","Q6XPS3","P18031","P17706","Q05209","Q99952","Q9Y2R2","Q12923","Q4JDL3","Q15678","Q16825","Q9H3S7","P26045","P29074","P54829","P35236","Q15256","Q06124","Q53XS4","Q6IQ43","P18433.1","P18433.2","P23469.1","P23469.2","P23467","Q9HD43","Q12913","Q16827","A0A087WZU1","P08575.1","P08575.2","Q2HXI4.1","Q2HXI4.2","P10586.1","P10586.2","Q13332.1","Q13332.2","P23470.1","P23470.2","P23471.1","P23471.2","Q5TG12.1","Q5TG12.2","P28827.1","P28827.2","O14522.1","O14522.2","Q92729.1","Q92729.2","Q16849","Q92932","Q92562","Q9Y2H2","Q9NTJ5","O43426","O15056","P24666","Q9NP77","P30304","P30305","P30307","Q99502","O00167","Q99504","A0A0S2Z3Q2","Q05D32","O95476","Q9Y5B0","Q9GZU7","O14595","O15194","Q3ZCQ8","Q8WVY7","Q9BXW7","Q9H0R4","Q9H008","Q96GD0","A6NDG6","P16118","O60825","Q16875","Q16877","P07738","Q6FHU2","P15259","Q8N0Y7","Q96HS1","P57075","Q8TF42","Q9NQ88","P11117","P15309","Q9BZG2","Q9NPH0","Q9UNW1","B7WPL9","A0A087WZV0","Q8TE99","Q9NRX4","Q9H0C8","Q9P0J1","Q9P2J9","O60346","Q6ZVD8","A8MPX8","P35813","O75688","Q8N819","O15297","Q8WY54","P49593","O15355","Q9ULR3","Q5JR12","Q96MI6","Q8N3J5","Q5SGD2","Q8NI37","Q15750","P13686","Q6ZNF0","P62136","P62140","P36873","P67775","P62714","Q08209","P16298","P48454","P60510","P53041","O00743","O14829","O14830","Q8IXW5"
"P09923",0,0.76923,0.14286,0.15067,0.87525,0.88285,0.89131,0.87216,0.88472,0.89644,0.88356,0.89671,0.88814,0.8728,0.88943,0.87967,0.88505,0.8796,0.88758,0.89624,0.89441,0.88233,0.82499,0.89273,0.87471,0.86018,0.87625,0.8619,0.87137,0.89022,0.87954,0.88771,0.87591,0.89543,0.88778,0.89967,0.88263,0.87895,0.88942,0.88865,0.87425,0.88655,0.89333,0.88504,0.8842,0.89538,0.89286,0.89891,0.8898,0.88992,0.89859,0.88243,0.88551,0.88399,0.88912,0.88681,0.89215,0.88308,0.89087,0.88903,0.87122,0.90082,0.87433,0.88708,0.89224,0.89181,0.8957,0.88952,0.88901,0.88784,0.895,0.85942,0.87436,0.87272,0.89469,0.89995,0.87113,0.88344,0.88988,0.88049,0.87264,0.88479,0.896,0.88959,0.88895,0.88875,0.90336,0.87415,0.88406,0.89787,0.87469,0.8893,0.89859,0.88376,0.87621,0.87345,0.88842,0.8951,0.89029,0.88993,0.87416,0.87614,0.8655,0.86695,0.88305,0.86814,0.869,0.86879,0.89913,0.86299,0.88849,0.86561,0.89336,0.88777,0.89378,0.86874,0.88756,0.89879,0.89207,0.88687,0.8876,0.88403,0.88018,0.86998,0.88206,0.87834,0.89,0.88266,0.89021,0.88558,0.88124,0.87202,0.88176,0.88108,0.87164,0.87228,0.88069,0.89674,0.90412,0.89598,0.87071,0.89234,0.87987,0.89462,0.87349,0.88946,0.89536,0.8889,0.88993,0.8919,0.87192,0.87028,0.86554,0.87707,0.85236,0.88795,0.87447,0.89418,0.88989,0.88516,0.88326,0.89416,0.8725,0.89087,0.89105,0.88567,0.88686,0.88889,0.89791,0.8894,0.87335,0.88697,0.88293,0.88205,0.89435,0.89165,0.86714,0.88802,0.89463,0.87371,0.89717,0.8885,0.89948,0.87394,0.88963,0.89226,0.89875,0.88333,0.87792,0.89408,0.89553,0.88598,0.9031,0.87122,0.8721,0.89615,0.88068,0.87766,0.89405,0.8766,0.86863,0.8815,0.90331,0.87852
"P05186",0.76923,0,0.77878,0.78124,0.88332,0.88053,0.89823,0.89723,0.89015,0.88013,0.86378,0.88779,0.87579,0.88906,0.89461,0.88583,0.88177,0.87769,0.8996,0.8989,0.88791,0.88058,0.88642,0.88467,0.88079,0.88379,0.89045,0.86123,0.88411,0.90391,0.90264,0.89225,0.89211,0.89761,0.89607,0.89221,0.88319,0.88153,0.88859,0.86601,0.90103,0.8973,0.8941,0.89664,0.8863,0.88242,0.87499,0.87216,0.87511,0.87511,0.84666,0.8882,0.87678,0.88867,0.88931,0.89053,0.87916,0.88718,0.89277,0.89516,0.89916,0.89929,0.88248,0.89463,0.90134,0.8962,0.88918,0.87748,0.88043,0.8964,0.89765,0.86671,0.88075,0.87322,0.88922,0.88325,0.86939,0.89406,0.87242,0.8987,0.89738,0.88376,0.89013,0.88626,0.89534,0.88612,0.87343,0.8897,0.88128,0.89473,0.89413,0.88054,0.89916,0.89208,0.88905,0.88993,0.90154,0.88551,0.87872,0.87344,0.8887,0.88383,0.88975,0.87984,0.88786,0.88184,0.89018,0.87221,0.89771,0.89331,0.88438,0.86417,0.88913,0.87266,0.88078,0.8832,0.8879,0.8879,0.88036,0.88265,0.85911,0.89481,0.89886,0.88064,0.86681,0.88507,0.8825,0.90028,0.88436,0.88635,0.87801,0.89184,0.88056,0.87957,0.87136,0.87622,0.89502,0.892,0.88831,0.89131,0.8942,0.8933,0.86398,0.89919,0.89386,0.88102,0.88291,0.86095,0.89662,0.89478,0.86403,0.89674,0.89117,0.90227,0.88981,0.88291,0.87895,0.8941,0.88413,0.89574,0.89247,0.86642,0.86951,0.88129,0.90072,0.89872,0.87614,0.89957,0.88694,0.8911,0.89368,0.90252,0.88835,0.88131,0.88714,0.88337,0.88146,0.88577,0.8811,0.87319,0.8601,0.89592,0.86767,0.8901,0.88165,0.89405,0.87744,0.89296,0.85524,0.85438,0.88621,0.88981,0.89564,0.88106,0.86627,0.8818,0.86071,0.88798,0.87259,0.88563,0.87844,0.89071,0.89636,0.89144
"P05187",0.14286,0.77878,0,0.05262,0.87702,0.87519,0.88643,0.86727,0.87871,0.8975,0.88837,0.88866,0.89444,0.87219,0.89311,0.88094,0.89641,0.87919,0.89309,0.90101,0.88879,0.89532,0.8413,0.88798,0.87891,0.84972,0.89038,0.87487,0.88685,0.8835,0.89237,0.89738,0.89114,0.88275,0.88939,0.88709,0.8885,0.88464,0.89213,0.89383,0.88212,0.87186,0.87508,0.87622,0.8788,0.88876,0.8966,0.87906,0.89477,0.89377,0.89275,0.88198,0.87255,0.89093,0.89091,0.88419,0.87133,0.88887,0.87764,0.88972,0.87011,0.89427,0.89011,0.88485,0.8676,0.89157,0.89378,0.87787,0.89801,0.88857,0.90131,0.88276,0.88271,0.89774,0.88119,0.89024,0.87406,0.8792,0.88082,0.89488,0.87463,0.88374,0.8749,0.89014,0.89148,0.8855,0.8959,0.85996,0.88726,0.89392,0.8676,0.88074,0.89111,0.88106,0.87587,0.88988,0.887,0.90036,0.89076,0.88591,0.89148,0.88802,0.88911,0.88884,0.88696,0.88548,0.87658,0.8945,0.89942,0.87086,0.8936,0.87951,0.89153,0.89283,0.88578,0.87512,0.87143,0.87135,0.88709,0.87216,0.88803,0.87632,0.86708,0.89304,0.8869,0.88947,0.8803,0.89341,0.87714,0.87694,0.88714,0.87213,0.90186,0.88112,0.87887,0.8839,0.88412,0.8913,0.90175,0.89933,0.88185,0.88842,0.89759,0.88443,0.84455,0.88707,0.89346,0.88699,0.87527,0.88992,0.89212,0.88563,0.87522,0.87899,0.86731,0.88278,0.88247,0.87567,0.89164,0.87964,0.89173,0.8969,0.88656,0.86861,0.895,0.87614,0.88159,0.86965,0.90085,0.88862,0.87836,0.8956,0.87885,0.89685,0.89338,0.87893,0.87648,0.87708,0.85898,0.88521,0.8865,0.8763,0.89847,0.88732,0.87633,0.89586,0.89946,0.85807,0.8727,0.86982,0.87927,0.87066,0.88564,0.88002,0.8822,0.90177,0.90006,0.89603,0.88608,0.88535,0.85852,0.86951,0.89016,0.87752
"P10696",0.15067,0.78124,0.05262,0,0.88365,0.87348,0.86941,0.8679,0.88629,0.90219,0.88479,0.8839,0.89365,0.88872,0.89448,0.88973,0.87904,0.88148,0.89227,0.89214,0.89889,0.89953,0.84544,0.88312,0.87494,0.85979,0.88604,0.88156,0.88171,0.88527,0.88273,0.89974,0.89704,0.88119,0.88698,0.88328,0.8986,0.89408,0.89394,0.88404,0.8747,0.86689,0.87966,0.86339,0.88128,0.88128,0.89493,0.89146,0.89714,0.88756,0.89533,0.88119,0.87888,0.89705,0.89749,0.88162,0.87614,0.89386,0.88982,0.89441,0.86871,0.89761,0.8911,0.88843,0.89389,0.89689,0.8846,0.88047,0.89704,0.88446,0.89755,0.8892,0.88172,0.89988,0.88295,0.89681,0.87143,0.87951,0.8825,0.88343,0.88039,0.8841,0.8837,0.87931,0.88087,0.89034,0.87126,0.87254,0.87968,0.90101,0.87545,0.87677,0.88315,0.87159,0.88496,0.88898,0.88824,0.89823,0.89507,0.8833,0.8882,0.86151,0.88269,0.86084,0.88321,0.85407,0.88559,0.89912,0.87898,0.88692,0.89041,0.87909,0.88846,0.88915,0.89,0.87668,0.86791,0.88226,0.88332,0.88035,0.88097,0.87528,0.87831,0.89461,0.89414,0.88623,0.88462,0.88107,0.8968,0.88066,0.88166,0.86059,0.88849,0.87462,0.87396,0.88448,0.88749,0.89485,0.89157,0.88993,0.8808,0.88965,0.89028,0.86996,0.85831,0.88734,0.88697,0.88383,0.87312,0.89475,0.88595,0.88519,0.88095,0.88707,0.87674,0.89481,0.87656,0.88863,0.8886,0.87523,0.87761,0.89318,0.88974,0.86262,0.89026,0.8765,0.89391,0.86974,0.8899,0.87846,0.88229,0.89727,0.87812,0.89266,0.90403,0.8831,0.86635,0.88856,0.88487,0.88266,0.88935,0.87237,0.8881,0.89418,0.89091,0.89925,0.89522,0.88126,0.87621,0.886,0.89382,0.86608,0.88973,0.89425,0.89476,0.89421,0.88349,0.89489,0.88627,0.89245,0.86031,0.87753,0.89444,0.87248
"A0A2R8YDJ8|1",0.87525,0.88332,0.87702,0.88365,0,0.86128,0.58957,0.84456,0.85154,0.826,0.83737,0.79067,0.79718,0.79089,0.82809,0.85136,0.83358,0.83358,0.82456,0.83036,0.82446,0.82025,0.82542,0.82719,0.8632,0.85958,0.84126,0.8566,0.85181,0.84804,0.84648,0.84744,0.84212,0.86993,0.8504,0.84344,0.85999,0.8731,0.82807,0.84698,0.8411,0.81772,0.82544,0.80867,0.81052,0.85122,0.87806,0.86373,0.86703,0.8718,0.90214,0.88038,0.86725,0.89888,0.88947,0.88949,0.88811,0.86037,0.88461,0.88235,0.88952,0.8836,0.88102,0.85816,0.85091,0.843,0.85385,0.85363,0.85669,0.86222,0.85954,0.88124,0.85843,0.83522,0.88281,0.85895,0.87883,0.87718,0.87911,0.86664,0.85678,0.85576,0.87799,0.88431,0.86391,0.83454,0.85428,0.84709,0.86953,0.84073,0.89343,0.85491,0.85717,0.86902,0.86542,0.86384,0.87325,0.85021,0.86751,0.8738,0.87282,0.85965,0.87365,0.85242,0.87137,0.84647,0.85133,0.85387,0.86517,0.87449,0.87042,0.84879,0.86668,0.86584,0.86425,0.85338,0.87268,0.87894,0.85714,0.85606,0.87376,0.85827,0.85464,0.87122,0.86331,0.83321,0.85427,0.81772,0.86401,0.83254,0.85712,0.87331,0.8853,0.87662,0.86332,0.78997,0.79594,0.84142,0.82178,0.84698,0.83293,0.78168,0.85639,0.87356,0.85207,0.86248,0.85717,0.86021,0.88312,0.87647,0.85709,0.88486,0.84307,0.83665,0.84824,0.85015,0.86428,0.89035,0.84931,0.87257,0.88498,0.8639,0.88842,0.88742,0.88311,0.88001,0.88431,0.79424,0.88736,0.88203,0.88182,0.86989,0.85907,0.87767,0.86626,0.86429,0.8668,0.87817,0.86723,0.88484,0.89171,0.88018,0.87589,0.88702,0.86577,0.88071,0.83237,0.86921,0.87094,0.85679,0.86321,0.87782,0.88035,0.86351,0.87973,0.86026,0.84299,0.82658,0.86739,0.82575,0.8256,0.89848,0.8953,0.84671
"A0A2R8YDJ8|2",0.88285,0.88053,0.87519,0.87348,0.86128,0,0.85509,0.22927,0.87017,0.84985,0.85275,0.8401,0.84603,0.85851,0.84245,0.84161,0.836,0.84306,0.84271,0.86238,0.8305,0.83777,0.85752,0.8074,0.81862,0.837,0.84022,0.78087,0.74805,0.84098,0.84363,0.85644,0.83988,0.84123,0.8494,0.76593,0.76518,0.80883,0.75919,0.83526,0.82438,0.85587,0.8415,0.86129,0.85866,0.81856,0.88701,0.86842,0.87579,0.88244,0.88338,0.88121,0.83968,0.89049,0.88544,0.87561,0.89125,0.87343,0.88748,0.87645,0.90068,0.86189,0.85224,0.81693,0.80892,0.87579,0.83932,0.84906,0.79369,0.85708,0.85148,0.85376,0.8693,0.86965,0.85393,0.8733,0.85887,0.87552,0.84502,0.86189,0.88336,0.8412,0.88323,0.86195,0.8785,0.881,0.88104,0.86192,0.87796,0.87499,0.8514,0.86628,0.87332,0.83612,0.86572,0.86237,0.86359,0.86149,0.84491,0.87815,0.84926,0.86507,0.8413,0.85872,0.85528,0.85988,0.85868,0.86947,0.86462,0.86579,0.88653,0.87351,0.87255,0.84527,0.87469,0.85785,0.86498,0.87047,0.87154,0.88647,0.86486,0.87467,0.79599,0.86693,0.86863,0.83527,0.84821,0.86458,0.86592,0.85404,0.87385,0.88943,0.87646,0.88973,0.85213,0.83777,0.84284,0.84217,0.86425,0.86846,0.83197,0.82367,0.88274,0.88752,0.8575,0.85075,0.86053,0.87792,0.8765,0.85634,0.87618,0.86151,0.87127,0.86108,0.86187,0.85115,0.8689,0.85989,0.88385,0.88866,0.86652,0.85874,0.87911,0.85991,0.88898,0.87977,0.87855,0.84232,0.88867,0.88234,0.893,0.84092,0.8799,0.88727,0.85699,0.86587,0.88055,0.87614,0.87387,0.85807,0.88212,0.89868,0.89613,0.88745,0.87361,0.8794,0.84481,0.87961,0.86538,0.85421,0.86952,0.87532,0.86072,0.87428,0.87107,0.87322,0.85974,0.86827,0.86055,0.8565,0.86385,0.89203,0.88236,0.83686
"O60729|1",0.89131,0.89823,0.88643,0.86941,0.58957,0.85509,0,0.83901,0.8357,0.86377,0.82395,0.86005,0.83332,0.77183,0.83096,0.83538,0.83762,0.80945,0.86362,0.82406,0.79153,0.81432,0.83782,0.85733,0.79957,0.78727,0.8149,0.8499,0.81384,0.81112,0.77766,0.80223,0.84816,0.82651,0.82742,0.82659,0.83634,0.84781,0.84014,0.82163,0.83087,0.83835,0.84828,0.86381,0.83503,0.82046,0.88413,0.8823,0.87632,0.88506,0.88316,0.86002,0.85582,0.88981,0.86982,0.89203,0.8956,0.85541,0.86884,0.88656,0.89446,0.88607,0.86772,0.86041,0.85206,0.86433,0.79934,0.86153,0.83142,0.84506,0.83026,0.88484,0.86044,0.8536,0.84005,0.84682,0.87703,0.88162,0.85001,0.83678,0.86766,0.88495,0.88048,0.86971,0.88002,0.86924,0.87761,0.87418,0.86706,0.86188,0.86584,0.84825,0.87127,0.85409,0.87294,0.86988,0.86409,0.85237,0.87636,0.86146,0.86789,0.89256,0.87097,0.87755,0.87069,0.88057,0.87142,0.84996,0.87224,0.84518,0.87534,0.86791,0.89009,0.88996,0.87374,0.87531,0.85944,0.87814,0.87344,0.8742,0.87637,0.86585,0.87185,0.85802,0.83037,0.8332,0.86264,0.85299,0.83788,0.82081,0.86964,0.87943,0.87108,0.87234,0.80341,0.85323,0.78633,0.83183,0.84315,0.82643,0.85588,0.82411,0.86707,0.87693,0.8701,0.88627,0.87797,0.87338,0.87529,0.84595,0.87267,0.86888,0.86335,0.84512,0.88885,0.83461,0.85166,0.85951,0.87249,0.87878,0.87422,0.88184,0.87618,0.86322,0.88737,0.88625,0.87813,0.85666,0.86248,0.8867,0.87803,0.85598,0.86173,0.88134,0.85656,0.82659,0.85467,0.89279,0.81905,0.83622,0.87976,0.88888,0.87419,0.89385,0.85632,0.8774,0.88261,0.86905,0.86195,0.85479,0.87749,0.87079,0.86946,0.8788,0.88576,0.87886,0.88898,0.86566,0.86877,0.84461,0.88145,0.86356,0.8697,0.83861
"O60729|2",0.87216,0.89723,0.86727,0.8679,0.84456,0.22927,0.83901,0,0.85161,0.8378,0.85102,0.82379,0.83228,0.85033,0.84099,0.84946,0.84847,0.83444,0.86561,0.86556,0.83003,0.83127,0.86373,0.8073,0.83189,0.86766,0.81664,0.82568,0.72757,0.83482,0.84954,0.83736,0.82426,0.8516,0.84007,0.76017,0.73761,0.78428,0.80317,0.85456,0.84706,0.83914,0.82479,0.84476,0.81903,0.78462,0.88191,0.85848,0.87168,0.87389,0.89044,0.86874,0.81997,0.87433,0.89083,0.8845,0.89126,0.89336,0.8797,0.89268,0.88046,0.87554,0.87468,0.81987,0.80585,0.86657,0.8122,0.83466,0.78939,0.87405,0.86382,0.87042,0.86739,0.88207,0.85052,0.85016,0.86608,0.87229,0.87604,0.8768,0.86963,0.86065,0.85911,0.87333,0.84674,0.86988,0.86863,0.85663,0.86499,0.87208,0.83848,0.8668,0.84191,0.81082,0.84673,0.86922,0.85521,0.86219,0.84489,0.89022,0.84717,0.84927,0.84369,0.85655,0.85207,0.85346,0.86814,0.8665,0.87514,0.87719,0.83922,0.88475,0.86244,0.87177,0.85468,0.87193,0.85882,0.8555,0.87819,0.84701,0.83755,0.87957,0.84407,0.84688,0.85951,0.80401,0.84519,0.83502,0.83657,0.83104,0.87558,0.8665,0.86776,0.88423,0.85541,0.81301,0.80306,0.85327,0.82683,0.83275,0.85143,0.84294,0.87535,0.86098,0.84563,0.83002,0.87436,0.87323,0.86829,0.8565,0.85963,0.86857,0.85623,0.86166,0.8608,0.85522,0.84854,0.85714,0.87088,0.87429,0.85678,0.87134,0.87786,0.88408,0.89067,0.88552,0.86774,0.86564,0.87753,0.86832,0.88413,0.82239,0.8732,0.88216,0.88123,0.88431,0.87351,0.89831,0.84806,0.88842,0.8861,0.8925,0.88818,0.86961,0.88749,0.88051,0.86249,0.87804,0.86582,0.86448,0.86407,0.84933,0.85341,0.85007,0.86867,0.84621,0.83685,0.84069,0.8773,0.84938,0.87484,0.87542,0.89177,0.85707
"Q16667",0.88472,0.89015,0.87871,0.88629,0.85154,0.87017,0.8357,0.85161,0,0.80567,0.82775,0.81709,0.80996,0.84394,0.80228,0.83692,0.84233,0.84891,0.84595,0.84509,0.84132,0.84459,0.8364,0.8421,0.82545,0.85283,0.84266,0.82407,0.85304,0.84399,0.85082,0.8343,0.84845,0.84542,0.8371,0.84681,0.8483,0.83117,0.79588,0.84016,0.85898,0.84287,0.84828,0.84318,0.86108,0.83253,0.86843,0.86946,0.88935,0.89281,0.88961,0.88923,0.86154,0.89107,0.89694,0.86936,0.88167,0.8882,0.85485,0.87916,0.89638,0.89006,0.85593,0.85631,0.80852,0.80945,0.81992,0.86534,0.82186,0.81888,0.84051,0.88509,0.85371,0.82375,0.87185,0.87666,0.88111,0.87965,0.8673,0.8425,0.8703,0.8512,0.8645,0.87255,0.87097,0.85621,0.87562,0.86124,0.87007,0.86658,0.87053,0.87494,0.84229,0.87133,0.87494,0.84205,0.86877,0.8752,0.84918,0.8684,0.87062,0.87588,0.87541,0.86942,0.87894,0.88677,0.86131,0.8602,0.88115,0.87679,0.85708,0.85823,0.87206,0.87366,0.87086,0.87292,0.86452,0.85841,0.86118,0.85442,0.86965,0.85772,0.88533,0.8681,0.88668,0.86094,0.86117,0.83479,0.8581,0.84826,0.87006,0.88803,0.88686,0.86318,0.87565,0.85482,0.8253,0.8667,0.86749,0.84282,0.869,0.85513,0.88375,0.87515,0.82076,0.85921,0.85123,0.88574,0.86516,0.87284,0.86718,0.87229,0.85493,0.83805,0.86612,0.85783,0.8633,0.85563,0.86655,0.88749,0.89132,0.86828,0.87859,0.89254,0.88844,0.89801,0.8751,0.85542,0.87307,0.87868,0.88984,0.86244,0.86495,0.88526,0.86502,0.85283,0.86982,0.89508,0.86751,0.88632,0.87206,0.88313,0.89268,0.89234,0.87966,0.8649,0.87798,0.87231,0.86281,0.84551,0.86376,0.86766,0.88855,0.86063,0.85598,0.8578,0.85936,0.87114,0.86875,0.88267,0.88575,0.87836,0.88853,0.82409
"P28562",0.89644,0.88013,0.8975,0.90219,0.826,0.84985,0.86377,0.8378,0.80567,0,0.23118,0.11319,0.28192,0.56576,0.85547,0.75781,0.51018,0.52125,0.52866,0.55782,0.70728,0.65215,0.54923,0.78982,0.83465,0.82334,0.8076,0.71755,0.76124,0.64851,0.62948,0.65442,0.68599,0.66648,0.77668,0.81022,0.82539,0.79428,0.81361,0.79298,0.86949,0.47899,0.43732,0.49159,0.69802,0.71938,0.89401,0.89417,0.88825,0.8846,0.89644,0.88578,0.86289,0.88963,0.88192,0.89218,0.87407,0.87138,0.8849,0.85075,0.8888,0.86904,0.88271,0.8117,0.79076,0.85255,0.81143,0.84331,0.82703,0.87735,0.8676,0.87896,0.87432,0.87454,0.88413,0.87055,0.87164,0.85893,0.84167,0.85315,0.86834,0.87179,0.86125,0.88632,0.87848,0.87482,0.87294,0.85813,0.86637,0.8676,0.86356,0.873,0.86068,0.85893,0.85647,0.86289,0.86796,0.8964,0.88258,0.87813,0.87218,0.85976,0.86826,0.87631,0.87043,0.85734,0.8534,0.84013,0.87176,0.88093,0.85586,0.87463,0.87754,0.8548,0.84565,0.86408,0.86603,0.88086,0.85041,0.84835,0.87476,0.84415,0.87475,0.87792,0.88299,0.86351,0.85309,0.8411,0.8555,0.86162,0.87359,0.88866,0.88233,0.88043,0.83293,0.84286,0.85582,0.85755,0.84777,0.82814,0.8515,0.7919,0.87755,0.84553,0.84406,0.87157,0.8539,0.86845,0.86868,0.87614,0.8648,0.86384,0.87161,0.87764,0.873,0.81607,0.86147,0.81596,0.86678,0.8576,0.86897,0.86216,0.86595,0.89171,0.88402,0.87481,0.88172,0.86025,0.86732,0.88286,0.88136,0.84051,0.87148,0.88437,0.84794,0.84134,0.86999,0.87083,0.87328,0.85805,0.87757,0.87818,0.88435,0.88626,0.82411,0.85143,0.83411,0.86319,0.86918,0.87045,0.88393,0.88496,0.87996,0.88529,0.8897,0.8395,0.85043,0.8365,0.86435,0.88342,0.8743,0.87782,0.89674,0.82068
