Query	Annotation	Similarity_Score	Status
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q724G4|RL11_LISMF Large ribosomal subunit protein uL11 OS=Listeria monocytogenes serotype 4b (strain F2365) OX=265669 GN=rplK PE=3 SV=1	0.9952284097671509	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A9M3X8|RL11_NEIM0 Large ribosomal subunit protein uL11 OS=Neisseria meningitidis serogroup C (strain 053442) OX=374833 GN=rplK PE=3 SV=1	0.9802396297454834	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q9K1J3|RL11_NEIMB Large ribosomal subunit protein uL11 OS=Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58) OX=122586 GN=rplK PE=3 SV=1	0.9796264171600342	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A3PV33|RL11_MYCSJ Large ribosomal subunit protein uL11 OS=Mycobacterium sp. (strain JLS) OX=164757 GN=rplK PE=3 SV=1	0.9757099747657776	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A9IJ32|RL11_BORPD Large ribosomal subunit protein uL11 OS=Bordetella petrii (strain ATCC BAA-461 / DSM 12804 / CCUG 43448) OX=340100 GN=rplK PE=3 SV=1	0.9684574007987976	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A6TWJ4|RL11_ALKMQ Large ribosomal subunit protein uL11 OS=Alkaliphilus metalliredigens (strain QYMF) OX=293826 GN=rplK PE=3 SV=1	0.9677760601043701	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B7V633|RL11_PSEA8 Large ribosomal subunit protein uL11 OS=Pseudomonas aeruginosa (strain LESB58) OX=557722 GN=rplK PE=3 SV=1	0.9675203561782837	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|B7H1K2|RL11_ACIB3 Large ribosomal subunit protein uL11 OS=Acinetobacter baumannii (strain AB307-0294) OX=557600 GN=rplK PE=3 SV=1	0.9645938873291016	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|Q11HA9|RL11_CHESB Large ribosomal subunit protein uL11 OS=Chelativorans sp. (strain BNC1) OX=266779 GN=rplK PE=3 SV=1	0.9625592231750488	success
sp|Q1J835|RL11_STRPF Large ribosomal subunit protein uL11 OS=Streptococcus pyogenes serotype M4 (strain MGAS10750) OX=370554 GN=rplK PE=3 SV=2	sp|A8MLC8|RL11_ALKOO Large ribosomal subunit protein uL11 OS=Alkaliphilus oremlandii (strain OhILAs) OX=350688 GN=rplK PE=3 SV=1	0.9577558040618896	success
