ID,Human,Gorilla,Gibbon,G.Panda,Goose,Swan,Goat,Sheep,Bovine,Bison
Human,1.0,0.99649,0.92032,0.88569,0.7029,0.70532,0.76513,0.7616,0.84672,0.84297
Gorilla,0.99649,1.0,0.91996,0.88837,0.71053,0.71385,0.77375,0.76606,0.85138,0.84901
Gibbon,0.92032,0.91996,1.0,0.88228,0.72033,0.71995,0.76833,0.76366,0.82034,0.81862
G.Panda,0.88569,0.88837,0.88228,1.0,0.69567,0.68858,0.79637,0.78741,0.80183,0.79791
Goose,0.7029,0.71053,0.72033,0.69567,1.0,0.99509,0.68262,0.69369,0.6784,0.67312
Swan,0.70532,0.71385,0.71995,0.68858,0.99509,1.0,0.67846,0.68893,0.67835,0.67347
Goat,0.76513,0.77375,0.76833,0.79637,0.68262,0.67846,1.0,0.98435,0.90222,0.89191
Sheep,0.7616,0.76606,0.76366,0.78741,0.69369,0.68893,0.98435,1.0,0.90336,0.89685
Bovine,0.84672,0.85138,0.82034,0.80183,0.6784,0.67835,0.90222,0.90336,1.0,0.98111
Bison,0.84297,0.84901,0.81862,0.79791,0.67312,0.67347,0.89191,0.89685,0.98111,1.0
