ID,A0A0H3KB22,A0A0R0FIC1,A0A0R0GAG6,A0A0R4J536,A0A0Z8EWX1,A0A1B8PDY4,A0A1D6F795,A0A1D6KKP7,A0A1D6L6E5,A0A1D8PS33,A0A1F2VBE7,A0A1F2WQF4,A0A1I3QG02,A0A1I5E523,A0A2V9HK14,A0A3D4P501,A0A3N0ANJ2,A0A661U9F1,A3DDW1,A4HSJ7,A4HWP3,A4HWS3,A4HY57,A4I0J4,A4IGH2,A4J6G2,A7RNF3,B4FFP5,B4FJY4,B5DF48,B6TM42,B8A031,B9M511,C0PGU3,C0PN26,C6FX51,C6KT59,D3ZVG1,D4ACM1,E4N8S5,EIC300131,F4IVY6,H2JHX2,HED132381,I1JHY9,I1JXG4,I1JXG5,I1KTQ5,I1KXG4,I1LFP7,I1LIK7,I1LNN6,K7K4A9,K7LNH5,L4IZD0,MBB2876758-1,MBI19861291,MBL84112071,MBL84891351,MBM41893231,MBN8969022-1,MBO69482481,MBS03225261,MBS03678631,MBU07513571,MCA0419989-1,NOQ145911,NWG304921,O13642,O14023,O24770,O31423,O43766,O59761,O59778,O70600,OQW784741,P0A9N4,P0A9N8,P0AEI1,P0AEI4,P12996,P30140,P30745,P32131,P32451,P32875,P36979,P52062,P54967,P60716,P64554,P69848,P9WJS3,P9WPQ7,Q02908,Q08960,Q08C92,Q09316,Q0E297,Q0JD33,Q0JKY3,Q0TTH1,Q10QB5,Q1ZXC6,Q20624,Q21452,Q23651,Q2FV03,Q2FVJ7,Q2FXH0,Q2FXY9,Q2FXZ6,Q2FZ02,Q2FZ66,Q2FZX4,Q2G1D7,Q2G1X7,Q2MFI7,Q2QQ49,Q2QU90,Q2R1U4,Q39055,Q3ABV3,Q46CH7,Q46E78,Q4CUJ9,Q4CXG8,Q4DC43,Q4DKU2,Q4DPP3,Q4DT80,Q4DXJ3,Q4DYL7,Q4E0Z1,Q54J76,Q54KV4,Q54NM6,Q54VE8,Q56184,Q5IW0,Q5JM88,Q5RH95,Q5RIC0,Q5RKZ7,Q5SUV1,Q5VV42,Q5XIH4,Q5ZAQ2,Q69U93,Q6L534,Q6NUM6,Q6PG34,Q6PHG4,Q70KE5,Q7JQW6,Q7K4W1,Q7X7L3,Q7XRF1,Q841K7,Q84JV6,Q8BJM7,Q8BTW8,Q8CBB9,Q8G907,Q8H0V1,Q8H8N3,Q8I3L6,Q8I5E0,Q8IDQ0,Q8IM25,Q8IQF1,Q8LEE8,Q8MXQ7,Q8RXN5,Q8WXG1,Q91WE6,Q93XX3,Q93ZR1
A0A0H3KB22,1.0,0.13547,0.13575,0.15796,0.13367,0.15427,0.12933,0.11181,0.18519,0.13629,0.12778,0.13299,0.14897,0.14904,0.15041,0.11775,0.14828,0.13792,0.14871,0.12782,0.1315,0.11471,0.13038,0.12338,0.15003,0.11223,0.1353,0.12988,0.14208,0.16312,0.12,0.13686,0.13727,0.13663,0.14636,0.11237,0.12366,0.13964,0.13989,0.13263,0.14248,0.13703,0.12561,0.14069,0.14329,0.11948,0.13413,0.15694,0.15103,0.15732,0.11877,0.12028,0.12341,0.13798,0.14016,0.12541,0.14374,0.12989,0.15441,0.14598,0.1451,0.12032,0.16731,0.13554,0.13479,0.11654,0.12662,0.15385,0.15969,0.14522,0.1199,0.14119,0.14512,0.15813,0.12252,0.13498,0.13192,0.13796,0.13575,0.13445,0.14125,0.12924,0.11233,0.13868,0.14766,0.13514,0.17386,0.13759,0.13972,0.11206,0.12774,0.15214,0.1486,0.182,0.14143,0.14285,0.11929,0.13954,0.14814,0.14266,0.1532,0.12777,0.14026,0.15659,0.13863,0.14493,0.13408,0.1401,0.13819,0.15849,0.13356,0.15509,0.12383,0.13273,0.12063,0.12687,0.1337,0.14801,0.15554,0.15185,0.1137,0.12884,0.14871,0.13635,0.13932,0.14489,0.12924,0.12744,0.12347,0.13116,0.12263,0.15071,0.13617,0.13091,0.17834,0.14573,0.11122,0.13533,0.1286,0.12611,0.159,0.1347,0.13998,0.12256,0.13342,0.12971,0.11405,0.12908,0.11858,0.11139,0.14102,0.19196,0.12516,0.13673,0.14368,0.14778,0.11885,0.12985,0.13796,0.12611,0.15174,0.14308,0.12413,0.13211,0.16027,0.14548,0.17529,0.13361,0.1262,0.13849,0.14367,0.13761,0.13002,0.11918,0.15577,0.13094,0.11461,0.16234,0.14695
A0A0R0FIC1,0.13547,1.0,0.93872,0.15219,0.14167,0.13525,0.11866,0.12084,0.88112,0.12954,0.11932,0.12959,0.12336,0.14144,0.12839,0.12483,0.1357,0.12881,0.19554,0.60867,0.48537,0.12593,0.15889,0.13372,0.13602,0.13344,0.18154,0.15511,0.11727,0.64322,0.12161,0.16194,0.12459,0.12265,0.14267,0.1231,0.16165,0.15714,0.13003,0.14058,0.12708,0.16189,0.13653,0.14243,0.17556,0.14451,0.12092,0.15773,0.13539,0.12465,0.12015,0.13596,0.1192,0.13334,0.13599,0.15571,0.12395,0.12295,0.12128,0.14698,0.11604,0.16626,0.10714,0.12106,0.12462,0.16521,0.12234,0.13235,0.15005,0.12286,0.1138,0.15993,0.145,0.58297,0.11889,0.17359,0.12071,0.12786,0.12886,0.14156,0.15203,0.1183,0.1146,0.13996,0.13443,0.12418,0.14897,0.14665,0.13591,0.13451,0.17253,0.15584,0.15867,0.16054,0.12671,0.13729,0.38012,0.55845,0.12463,0.14501,0.1575,0.13036,0.12057,0.12509,0.12652,0.11291,0.14031,0.12456,0.14679,0.17072,0.14196,0.15154,0.14321,0.14763,0.15224,0.14027,0.13884,0.1323,0.13893,0.15149,0.17293,0.124,0.1754,0.11758,0.1382,0.13678,0.10863,0.62714,0.15494,0.12806,0.10834,0.18548,0.15108,0.16328,0.46123,0.14608,0.1418,0.17466,0.16649,0.12428,0.11771,0.13106,0.17784,0.11811,0.15673,0.13588,0.15898,0.13856,0.14275,0.12198,0.14096,0.70207,0.16689,0.14502,0.20698,0.13196,0.15887,0.12652,0.16313,0.17569,0.11541,0.66282,0.11739,0.16595,0.12847,0.12226,0.87613,0.51238,0.12163,0.12661,0.16348,0.14609,0.13455,0.18273,0.85782,0.1532,0.18059,0.12904,0.11602
A0A0R0GAG6,0.13575,0.93872,1.0,0.14385,0.14829,0.13569,0.12059,0.10846,0.84672,0.12758,0.12889,0.12591,0.14302,0.13764,0.10813,0.14007,0.15429,0.11851,0.17746,0.59181,0.478,0.12813,0.152,0.12531,0.14892,0.14147,0.17749,0.15496,0.12123,0.63713,0.10578,0.13977,0.12303,0.12064,0.14876,0.12995,0.15183,0.14178,0.12344,0.13468,0.12829,0.14557,0.12822,0.11782,0.15872,0.15627,0.12612,0.14918,0.12779,0.12733,0.11548,0.13085,0.11959,0.13143,0.13482,0.13278,0.11789,0.10899,0.12757,0.12796,0.11515,0.14535,0.11953,0.11838,0.12544,0.16599,0.11618,0.13063,0.12906,0.12353,0.11871,0.16699,0.15632,0.59047,0.11335,0.16642,0.11762,0.11981,0.12455,0.13688,0.13967,0.12377,0.12214,0.14198,0.14649,0.11507,0.15039,0.13958,0.13266,0.14244,0.14499,0.15623,0.14197,0.13082,0.11789,0.14242,0.38169,0.54786,0.11917,0.13262,0.14905,0.14641,0.12935,0.12441,0.12158,0.12227,0.1478,0.12819,0.12915,0.179,0.13924,0.15841,0.13801,0.14339,0.15717,0.14812,0.12571,0.12398,0.13899,0.13698,0.15448,0.12977,0.16048,0.12014,0.13948,0.12899,0.11643,0.61107,0.14914,0.11299,0.12506,0.1855,0.17162,0.13375,0.47328,0.13673,0.13573,0.16137,0.14935,0.13305,0.12053,0.12392,0.17733,0.12343,0.14643,0.14237,0.16562,0.15221,0.14809,0.11035,0.15051,0.66591,0.17225,0.15134,0.17823,0.12566,0.15842,0.13246,0.14066,0.17778,0.13502,0.64836,0.12486,0.16182,0.12494,0.1126,0.83356,0.50784,0.14329,0.13004,0.15053,0.15758,0.13843,0.19321,0.8173,0.16956,0.18233,0.13813,0.12618
A0A0R4J536,0.15796,0.15219,0.14385,1.0,0.1456,0.16575,0.1274,0.12647,0.1527,0.12906,0.1379,0.12812,0.18086,0.16235,0.13132,0.17312,0.13572,0.13342,0.12198,0.12121,0.13439,0.12641,0.5277,0.11827,0.12194,0.13768,0.16811,0.15403,0.14573,0.1317,0.12815,0.84811,0.17203,0.14417,0.44587,0.12458,0.11817,0.14752,0.15093,0.21023,0.17333,0.14097,0.18786,0.17246,0.13551,0.13054,0.14836,0.17493,0.12667,0.15048,0.12896,0.17685,0.1527,0.12139,0.13373,0.17789,0.14364,0.13522,0.13145,0.12996,0.15134,0.1356,0.14828,0.14025,0.13734,0.14418,0.16009,0.13057,0.40833,0.14895,0.1041,0.13194,0.41543,0.13,0.13519,0.15586,0.13646,0.12893,0.15509,0.15338,0.13087,0.11622,0.1203,0.1368,0.17335,0.14087,0.38732,0.15329,0.1232,0.12393,0.16758,0.14308,0.17775,0.17224,0.14498,0.12654,0.12734,0.13283,0.13674,0.16217,0.15127,0.12319,0.14112,0.13428,0.15247,0.16011,0.37864,0.12862,0.13739,0.13551,0.12022,0.13427,0.12979,0.13088,0.13682,0.28002,0.11716,0.14742,0.12835,0.17661,0.13652,0.13968,0.17816,0.11895,0.12281,0.12359,0.11216,0.11689,0.53541,0.15142,0.1207,0.11928,0.12861,0.62174,0.17068,0.14344,0.13771,0.14845,0.13701,0.12132,0.17253,0.13452,0.16302,0.1466,0.15503,0.17158,0.12902,0.42634,0.3961,0.12634,0.39965,0.17812,0.12682,0.40631,0.14415,0.41878,0.12806,0.14395,0.85876,0.15309,0.14133,0.13354,0.13131,0.1586,0.15707,0.12511,0.16203,0.15605,0.12978,0.38326,0.14879,0.14226,0.39832,0.1121,0.14121,0.18105,0.13178,0.11904,0.13365
A0A0Z8EWX1,0.13367,0.14167,0.14829,0.1456,1.0,0.18148,0.13382,0.13248,0.12685,0.16023,0.17416,0.18283,0.18653,0.14128,0.20061,0.17074,0.16539,0.19142,0.14288,0.16634,0.133,0.13203,0.15457,0.138,0.14229,0.1334,0.13377,0.12673,0.11326,0.12282,0.12142,0.12811,0.21665,0.11786,0.14147,0.10685,0.13817,0.15082,0.11949,0.13748,0.16232,0.1739,0.21723,0.16558,0.15907,0.1693,0.12241,0.18536,0.18974,0.14708,0.13479,0.13573,0.13179,0.17358,0.15703,0.13194,0.17985,0.17387,0.21732,0.16286,0.14912,0.18183,0.16434,0.16876,0.16833,0.14944,0.16946,0.18684,0.15833,0.12188,0.11441,0.19497,0.1567,0.14894,0.14196,0.12729,0.16375,0.15348,0.14494,0.16099,0.13479,0.1383,0.15911,0.1522,0.12602,0.12675,0.12973,0.12642,0.176,0.13748,0.13554,0.12701,0.1652,0.19992,0.11283,0.11591,0.12602,0.12125,0.12731,0.15642,0.13283,0.17333,0.13894,0.13192,0.11775,0.21095,0.1443,0.12003,0.16744,0.10744,0.15266,0.14415,0.13515,0.12114,0.14963,0.13774,0.14712,0.15894,0.14079,0.16771,0.16447,0.1707,0.1656,0.14125,0.16182,0.12578,0.13004,0.14891,0.11768,0.13437,0.12886,0.14338,0.13347,0.1364,0.12433,0.1372,0.14213,0.14334,0.15799,0.13628,0.12904,0.14786,0.136,0.13262,0.15094,0.13135,0.1475,0.14394,0.14648,0.12791,0.16758,0.15538,0.13533,0.15212,0.12323,0.1853,0.13265,0.12492,0.14382,0.14656,0.16367,0.12347,0.11907,0.13578,0.13895,0.18439,0.13443,0.16168,0.14782,0.14014,0.16013,0.17943,0.16831,0.11756,0.14297,0.11652,0.14373,0.16251,0.11883
A0A1B8PDY4,0.15427,0.13525,0.13569,0.16575,0.18148,1.0,0.11862,0.11927,0.11613,0.12027,0.1542,0.16823,0.13993,0.14116,0.17035,0.14758,0.13202,0.13142,0.1358,0.14921,0.12248,0.12759,0.13699,0.11026,0.15173,0.13724,0.13585,0.13751,0.11509,0.13961,0.11211,0.15114,0.15266,0.10818,0.16287,0.11694,0.13518,0.19896,0.126,0.183,0.16804,0.12342,0.17091,0.11794,0.1277,0.12655,0.12373,0.18667,0.15616,0.1363,0.13189,0.12126,0.13387,0.12298,0.15642,0.13016,0.13165,0.13333,0.12292,0.12664,0.11983,0.129,0.12037,0.13007,0.14024,0.15152,0.11513,0.11434,0.14952,0.13165,0.10701,0.13132,0.17571,0.13098,0.12094,0.13739,0.11608,0.12852,0.12993,0.12851,0.13374,0.13421,0.16776,0.1393,0.13377,0.14206,0.14676,0.14611,0.14947,0.13533,0.14959,0.18657,0.1613,0.17207,0.13504,0.12789,0.12974,0.10726,0.11373,0.20611,0.14233,0.17249,0.16211,0.14603,0.14927,0.13158,0.18243,0.13258,0.12955,0.11934,0.15777,0.16548,0.13475,0.12644,0.13048,0.14749,0.14247,0.13264,0.14081,0.20567,0.17508,0.12295,0.19791,0.13175,0.14305,0.11147,0.13179,0.15979,0.15292,0.12558,0.12098,0.14245,0.12904,0.15931,0.12468,0.15588,0.11709,0.18577,0.13669,0.12387,0.13651,0.14612,0.16636,0.14151,0.21293,0.14275,0.12586,0.1635,0.14293,0.1183,0.13178,0.15363,0.12936,0.17163,0.12861,0.15402,0.12562,0.11669,0.18968,0.17758,0.12731,0.1346,0.12967,0.14538,0.11365,0.13765,0.12249,0.15434,0.12225,0.1595,0.16198,0.13728,0.13972,0.14967,0.14764,0.11891,0.13245,0.1531,0.11907
A0A1D6F795,0.12933,0.11866,0.12059,0.1274,0.13382,0.11862,1.0,0.11467,0.12412,0.13279,0.11455,0.14991,0.11987,0.14049,0.13661,0.11595,0.13009,0.14965,0.12111,0.13563,0.14342,0.10541,0.1433,0.14861,0.14766,0.13224,0.1267,0.18931,0.11058,0.1171,0.1282,0.11981,0.13243,0.11285,0.15598,0.10845,0.21148,0.14234,0.11521,0.12371,0.13117,0.13836,0.21145,0.12556,0.13708,0.13672,0.11365,0.1553,0.11378,0.19125,0.11749,0.1942,0.58714,0.54006,0.12692,0.14516,0.1549,0.14609,0.14478,0.14988,0.12583,0.13206,0.17199,0.1379,0.14377,0.12149,0.12843,0.14023,0.15042,0.12236,0.12951,0.16044,0.13797,0.12367,0.11594,0.12506,0.14332,0.13757,0.15891,0.2352,0.13939,0.11662,0.12984,0.14865,0.14276,0.13046,0.14101,0.13055,0.15043,0.12887,0.1327,0.14951,0.12829,0.13458,0.14196,0.13517,0.14709,0.13496,0.35932,0.16544,0.181,0.12514,0.1368,0.19667,0.12478,0.1292,0.11449,0.1251,0.15735,0.10972,0.14749,0.15237,0.24118,0.25014,0.15478,0.11635,0.12409,0.1556,0.13332,0.17175,0.15648,0.81232,0.15512,0.13883,0.12396,0.10834,0.12241,0.10739,0.14458,0.13812,0.13274,0.16323,0.14277,0.14148,0.11938,0.14233,0.39782,0.15055,0.13028,0.1422,0.13049,0.15645,0.11692,0.12633,0.14641,0.14023,0.12378,0.13251,0.17211,0.11769,0.16694,0.12311,0.13737,0.13596,0.13982,0.143,0.13368,0.12078,0.12504,0.12407,0.19646,0.11082,0.35855,0.11396,0.11394,0.54261,0.12779,0.11955,0.11499,0.14617,0.11484,0.14885,0.13978,0.12256,0.12446,0.11797,0.12751,0.13209,0.1105
A0A1D6KKP7,0.11181,0.12084,0.10846,0.12647,0.13248,0.11927,0.11467,1.0,0.14453,0.41054,0.15674,0.16535,0.13218,0.13678,0.13342,0.13561,0.12485,0.1032,0.12889,0.12374,0.12399,0.1217,0.13814,0.20757,0.17031,0.12108,0.11214,0.1224,0.13103,0.11942,0.92419,0.12881,0.13978,0.13526,0.13088,0.11469,0.13652,0.12789,0.11887,0.1413,0.11851,0.11572,0.12071,0.13625,0.11741,0.14336,0.12616,0.12512,0.11764,0.173,0.90761,0.13906,0.13733,0.12966,0.13004,0.11235,0.11762,0.1456,0.13147,0.14329,0.13094,0.12984,0.14103,0.12471,0.13349,0.10908,0.12701,0.12147,0.14112,0.12938,0.11829,0.10647,0.11683,0.14816,0.57356,0.11324,0.12621,0.11392,0.13606,0.11983,0.11017,0.43932,0.1083,0.12385,0.11971,0.48136,0.13309,0.14866,0.14759,0.71187,0.12936,0.11194,0.14827,0.13819,0.22692,0.13115,0.11411,0.15557,0.15272,0.1521,0.12406,0.11446,0.12952,0.14951,0.12743,0.13964,0.13528,0.12287,0.1413,0.28835,0.10981,0.13362,0.11648,0.10956,0.12477,0.12732,0.14246,0.11648,0.13998,0.13825,0.13918,0.13816,0.14555,0.12069,0.12039,0.13531,0.1291,0.13035,0.14049,0.15686,0.1139,0.14951,0.13845,0.13482,0.13304,0.148,0.10804,0.14698,0.11717,0.10829,0.12047,0.12394,0.12271,0.12204,0.13039,0.18305,0.11115,0.10947,0.11707,0.96296,0.1461,0.132,0.10758,0.11817,0.138,0.11274,0.11401,0.12622,0.13446,0.12138,0.17737,0.11023,0.12245,0.1117,0.12723,0.11844,0.1384,0.13467,0.14276,0.11922,0.14922,0.13412,0.13629,0.12068,0.13546,0.11435,0.11148,0.12551,0.12699
A0A1D6L6E5,0.18519,0.88112,0.84672,0.1527,0.12685,0.11613,0.12412,0.14453,1.0,0.13207,0.13397,0.13699,0.13016,0.1571,0.12086,0.14599,0.11734,0.14971,0.17084,0.61547,0.51177,0.12868,0.1649,0.12279,0.14113,0.12521,0.19932,0.14559,0.11796,0.67224,0.13233,0.15212,0.12515,0.11267,0.14035,0.14361,0.18626,0.13005,0.11652,0.12015,0.12054,0.14938,0.1356,0.12447,0.1456,0.14739,0.12315,0.1296,0.13108,0.14292,0.11699,0.12246,0.10842,0.12664,0.1151,0.11844,0.11637,0.11796,0.13579,0.14076,0.121,0.15735,0.10805,0.11124,0.13359,0.15297,0.12805,0.14046,0.14671,0.12311,0.10974,0.14582,0.13495,0.59942,0.11815,0.1854,0.12257,0.12299,0.1318,0.13386,0.15339,0.12755,0.10904,0.14565,0.13414,0.13837,0.13292,0.1416,0.12866,0.14246,0.1681,0.13989,0.14126,0.16625,0.12046,0.13874,0.38941,0.59648,0.1314,0.11228,0.15067,0.14751,0.12765,0.12254,0.11803,0.1304,0.13277,0.11981,0.15357,0.15124,0.13433,0.14077,0.12941,0.15848,0.14044,0.13857,0.12127,0.12676,0.13678,0.12847,0.14281,0.13543,0.13305,0.11762,0.13692,0.12253,0.10951,0.65865,0.14586,0.11532,0.12017,0.23815,0.20194,0.14833,0.48285,0.1388,0.12698,0.13806,0.13756,0.12807,0.12594,0.13829,0.20304,0.1155,0.12175,0.12781,0.15944,0.13125,0.13309,0.12738,0.13074,0.73487,0.15508,0.12978,0.17384,0.14473,0.15157,0.13071,0.15245,0.19104,0.12429,0.67068,0.11465,0.18013,0.12657,0.11753,0.93923,0.50179,0.12003,0.15592,0.14016,0.13172,0.12214,0.17247,0.87277,0.1978,0.15604,0.13441,0.13075
A0A1D8PS33,0.13629,0.12954,0.12758,0.12906,0.16023,0.12027,0.13279,0.41054,0.13207,1.0,0.1205,0.13444,0.13723,0.11794,0.16337,0.15525,0.13511,0.14551,0.15109,0.12751,0.12648,0.13911,0.11965,0.14036,0.12675,0.14055,0.11855,0.14359,0.1122,0.12706,0.41252,0.12406,0.14062,0.11417,0.1103,0.1191,0.13759,0.12335,0.12732,0.12806,0.10524,0.13281,0.126,0.11961,0.13788,0.12384,0.11018,0.10524,0.15935,0.15473,0.40377,0.1387,0.11629,0.11539,0.12171,0.1334,0.1153,0.12719,0.12012,0.13305,0.14032,0.12373,0.16724,0.12364,0.12904,0.12309,0.11299,0.12313,0.1514,0.11507,0.11927,0.12567,0.11138,0.12866,0.39987,0.12647,0.12893,0.11492,0.14609,0.12623,0.11795,0.29322,0.11105,0.12461,0.11373,0.4893,0.11994,0.13273,0.14601,0.40264,0.14153,0.10738,0.1148,0.14028,0.25013,0.14053,0.12303,0.15663,0.13437,0.11855,0.14149,0.14123,0.12223,0.13433,0.11233,0.12182,0.13474,0.11535,0.11509,0.24736,0.11121,0.10794,0.1581,0.12153,0.16027,0.13539,0.12649,0.13673,0.1439,0.11851,0.11404,0.14496,0.124,0.1307,0.15616,0.15323,0.14932,0.11838,0.13528,0.13689,0.15391,0.13453,0.13197,0.13555,0.12683,0.11023,0.12566,0.1061,0.11392,0.10009,0.12779,0.13535,0.11776,0.12484,0.11642,0.14585,0.11089,0.11495,0.12501,0.41217,0.12864,0.11858,0.12492,0.11766,0.12317,0.128,0.11481,0.13118,0.1195,0.1245,0.1274,0.11615,0.11752,0.12516,0.12222,0.14224,0.11492,0.1342,0.15876,0.11378,0.13843,0.13398,0.11594,0.12295,0.12355,0.11402,0.10768,0.1363,0.11241
