ID,Human,Gorilla,Gibbon,G.Panda,Goose,Swan,Goat,Sheep,Bovine,Bison
Human,1.0,0.99503,0.95154,0.89565,0.72625,0.73097,0.79548,0.79593,0.85479,0.85818
Gorilla,0.99503,1.0,0.94952,0.90043,0.73163,0.73716,0.80288,0.79978,0.85652,0.86333
Gibbon,0.95154,0.94952,1.0,0.88876,0.73921,0.74029,0.81488,0.81276,0.86148,0.86712
G.Panda,0.89565,0.90043,0.88876,1.0,0.72216,0.71837,0.80349,0.80475,0.81086,0.82334
Goose,0.72625,0.73163,0.73921,0.72216,1.0,0.99344,0.68067,0.69083,0.69599,0.69799
Swan,0.73097,0.73716,0.74029,0.71837,0.99344,1.0,0.68164,0.69207,0.69679,0.699
Goat,0.79548,0.80288,0.81488,0.80349,0.68067,0.68164,1.0,0.98678,0.91702,0.91983
Sheep,0.79593,0.79978,0.81276,0.80475,0.69083,0.69207,0.98678,1.0,0.91148,0.91605
Bovine,0.85479,0.85652,0.86148,0.81086,0.69599,0.69679,0.91702,0.91148,1.0,0.97743
Bison,0.85818,0.86333,0.86712,0.82334,0.69799,0.699,0.91983,0.91605,0.97743,1.0
